Nível;Cód.;Município;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
MU;1101492;São Francisco do Guaporé (RO);-;-;-;-;-;-;-;-;-;-;-;-;-;3000;3000;3000;3000;3000;3000;3124
MU;1101500;Seringueiras (RO);1560;-;1560;2800;2800;-;-;-;-;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3300
MU;1101559;Teixeirópolis (RO);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1101609;Theobroma (RO);-;-;-;-;-;-;-;-;-;-;-;-;-;3000;3000;3251;3600;3600;3600;3600
MU;1101708;Urupá (RO);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1101757;Vale do Anari (RO);-;-;-;-;-;-;-;-;-;-;-;-;-;3000;3350;3000;3419;3419;3420;3747
MU;1101807;Vale do Paraíso (RO);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1200013;Acrelândia (AC);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1200054;Assis Brasil (AC);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1200104;Brasiléia (AC);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1200138;Bujari (AC);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1200179;Capixaba (AC);-;-;-;-;-;-;-;-;-;-;-;-;-;-;3000;3200;3000;3125;3450;3800
MU;1200203;Cruzeiro do Sul (AC);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1200252;Epitaciolândia (AC);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;957;-
MU;1200302;Feijó (AC);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1200328;Jordão (AC);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1200336;Mâncio Lima (AC);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1200344;Manoel Urbano (AC);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1200351;Marechal Thaumaturgo (AC);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1200385;Plácido de Castro (AC);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3300;3138;3389;3300
MU;1200393;Porto Walter (AC);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
