Município;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006
Am-Pauini;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Am-Presidente Figueiredo;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Am-Rio Preto da Eva;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Am-Santa Isabel do Rio Negro;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Am-Santo Antonio do Ica;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Am-Sao Gabriel da Cachoeira;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Am-Sao Paulo de Olivenca;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Am-Sao Sebastiao do Uatuma;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Am-Silves;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Am-Tabatinga;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Am-Tapaua;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Am-Tefe;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Am-Tonantins;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Am-Uarini;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Am-Urucara;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Am-Urucurituba;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Am-Ignorado;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Rr-Amajari;2;1;2;2;2;2;2;3;3;2;2;2;2;2;2;2
Rr-Alto Alegre;25;17;17;18;12;11;10;5;6;2;1;2;2;4;5;7
Rr-Boa Vista;30;26;19;17;11;11;10;11;14;10;8;9;8;4;9;9
Rr-Bonfim;9;5;8;7;8;5;4;3;4;1;2;2;2;2;3;3
Rr-Canta;1;1;1;0;1;1;1;0;1;1;1;1;1;1;1;1
Rr-Caracarai;2;2;2;2;2;1;1;1;2;2;2;1;0;0;0;0
Rr-Caroebe;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Rr-Iracema;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0
Rr-Mucajai;3;1;1;1;1;0;0;3;0;0;0;1;1;1;1;1
Rr-Normandia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Rr-Pacaraima;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Rr-Rorainopolis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Rr-Sao Joao da Baliza;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Rr-Sao Luiz;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Rr-Uiramuta;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Rr-Ignorado;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Abaetetuba;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0
Pa-Abel Figueiredo;3;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Acara;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Afua;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Agua Azul do Norte;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Alenquer;2;2;2;0;2;2;0;0;0;1;0;0;1;1;1;1
Pa-Almeirim;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Altamira;16;11;8;4;3;5;4;2;0;0;0;0;0;0;0;0
Pa-Anajas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Ananindeua;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Anapu;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Augusto Correa;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Aurora do Para;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Aveiro;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Bagre;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Baiao;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Bannach;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Barcarena;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Belem;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
