Município;2005;2004;2003
Pa-Cachoeira do Piria;10;10;11
Pa-Cachoeira do Arari;22;24;24
Pa-Cameta;0;0;0
Pa-Canaa dos Carajas;212;191;148
Pa-Capanema;36;40;26
Pa-Capitao Poco;6;9;9
Pa-Castanhal;93;65;70
Pa-Chaves;104;116;115
Pa-Colares;0;0;0
Pa-Conceicao do Araguaia;234;197;195
Pa-Concordia do Para;4;0;0
Pa-Cumaru do Norte;971;553;398
Pa-Curionopolis;478;780;564
Pa-Curralinho;0;0;0
Pa-Curua;0;0;0
Pa-Curuca;0;1;0
Pa-Dom Eliseu;242;196;117
Pa-Eldorado do Carajas;115;110;101
Pa-Faro;0;0;0
Pa-Floresta do Araguaia;49;46;54
Pa-Garrafao do Norte;1;1;0
Pa-Goianesia do Para;117;92;60
Pa-Gurupa;4;4;3
Pa-Igarape-Acu;5;0;5
Pa-Igarape-Miri;0;0;3
Pa-Inhangapi;3;2;2
Pa-Ipixuna do Para;167;167;107
Pa-Irituia;57;72;34
Pa-Itaituba;41;14;8
Pa-Itupiranga;216;229;161
Pa-Jacareacanga;0;0;0
Pa-Jacunda;107;123;26
Pa-Juruti;0;0;0
Pa-Limoeiro do Ajuru;0;0;0
Pa-Mae do Rio;75;24;38
Pa-Magalhaes Barata;0;0;0
Pa-Maraba;1158;1227;922
Pa-Maracana;4;0;0
Pa-Marapanim;0;7;5
Pa-Marituba;0;0;2
Pa-Medicilandia;6;3;5
Pa-Melgaco;0;0;0
Pa-Mocajuba;0;0;0
Pa-Moju;28;19;10
Pa-Mojui dos Campos;0;0;0
Pa-Monte Alegre;12;14;12
Pa-Muana;11;12;13
Pa-Nova Esperanca do Piria;0;0;0
Pa-Nova Ipixuna;46;48;36
Pa-Nova Timboteua;16;16;10
Pa-Novo Progresso;54;39;14
Pa-Novo Repartimento;121;135;58
Pa-Obidos;21;23;14
Pa-Oeiras do Para;1;1;0
Pa-Oriximina;31;28;27
Pa-Ourem;16;0;4
Pa-Ourilandia do Norte;142;131;113
Pa-Pacaja;132;113;45
Pa-Palestina do Para;39;90;29
Pa-Paragominas;1146;940;716
Pa-Parauapebas;202;191;168
Pa-Pau D Arco;168;159;141
Pa-Peixe-Boi;17;14;3
Pa-Picarra;294;243;203
Pa-Placas;0;0;0
Pa-Ponta de Pedras;30;31;23
Pa-Portel;78;68;37
Pa-Porto de Moz;12;12;7
Pa-Prainha;28;25;26
Pa-Primavera;6;0;0
Pa-Quatipuru;4;0;0
Pa-Redencao;420;419;686
Pa-Rio Maria;416;445;285
Pa-Rondon do Para;538;446;202
Pa-Ruropolis;0;3;3
Pa-Salinopolis;0;0;0
Pa-Salvaterra;13;15;12
Pa-Santa Barbara do Para;4;1;0
Pa-Santa Cruz do Arari;8;7;6
Pa-Santa Izabel do Para;69;62;54
Pa-Santa Luzia do Para;22;28;12
Pa-Santa Maria das Barreiras;398;361;492
Pa-Santa Maria do Para;4;3;3
Pa-Santana do Araguaia;970;737;703
Pa-Santarem;52;58;72
Pa-Santarem Novo;6;2;1
Pa-Santo Antonio do Taua;40;46;39
Pa-Sao Caetano de Odivelas;6;5;6
Pa-Sao Domingos do Araguaia;68;58;14
Pa-Sao Domingos do Capim;104;119;91
Pa-Sao Felix do Xingu;774;572;467
Pa-Sao Francisco do Para;55;48;46
Pa-Sao Geraldo do Araguaia;407;289;89
Pa-Sao Joao da Ponta;0;0;0
Pa-Sao Joao de Pirabas;0;0;0
Pa-Sao Joao do Araguaia;57;70;57
Pa-Sao Miguel do Guama;86;78;96
Pa-Sao Sebastiao da Boa Vista;0;0;0
Pa-Sapucaia;522;607;616
Pa-Senador Jose Porfirio;8;9;2
Pa-Soure;53;51;14
Pa-Tailandia;37;41;12
Pa-Terra Alta;2;6;1
Pa-Terra Santa;1;2;3
Pa-Tome-Acu;170;112;92
Pa-Tracuateua;9;7;9
Pa-Trairao;3;3;1
Pa-Tucuma;105;72;23
Pa-Tucurui;97;113;80
Pa-Ulianopolis;200;122;80
Pa-Uruara;122;114;82
Pa-Vigia;8;1;1
Pa-Viseu;60;57;10
Pa-Vitoria do Xingu;84;99;48
Pa-Xinguara;964;956;814
Pa-Ignorado;0;0;0
Ap-Serra do Navio;0;0;0
Ap-Amapa;12;0;0
Ap-Pedra Branca do Amapari;0;0;0
Ap-Calcoene;0;0;0
Ap-Cutias;0;0;0
Ap-Ferreira Gomes;0;0;0
Ap-Itaubal;0;0;0
Ap-Laranjal do Jari;0;0;0
Ap-Macapa;47;53;45
Ap-Mazagao;6;15;19
Ap-Oiapoque;0;0;0
Ap-Porto Grande;1;0;0
Ap-Pracuuba;0;0;0
Ap-Santana;12;10;10
Ap-Tartarugalzinho;7;5;6
Ap-Vitoria do Jari;0;0;0
Ap-Ignorado;0;0;0
To-Abreulandia;32;22;26
To-Aguiarnopolis;4;1;2
To-Alianca do Tocantins;68;63;67
To-Almas;10;11;8
To-Alvorada;121;65;41
To-Ananas;289;258;262
To-Angico;14;9;8
To-Aparecida do Rio Negro;28;19;7
To-Aragominas;112;139;58
To-Araguacema;43;35;33
To-Araguacu;196;178;172
To-Araguaina;975;1061;659
To-Araguana;137;120;163
To-Araguatins;81;60;25
To-Arapoema;366;351;338
To-Arraias;56;45;14
To-Augustinopolis;23;21;7
To-Aurora do Tocantins;17;14;21
To-Axixa do Tocantins;34;14;6
To-Babaculandia;69;36;23
To-Bandeirantes do Tocantins;181;213;84
To-Barra do Ouro;1;3;1
To-Barrolandia;53;44;45
To-Bernardo Sayao;112;76;53
To-Bom Jesus do Tocantins;1;0;1
To-Brasilandia do Tocantins;43;49;1
To-Brejinho de Nazare;130;153;141
To-Buriti do Tocantins;9;7;0
To-Cachoeirinha;4;2;0
To-Campos Lindos;4;3;2
To-Cariri do Tocantins;95;93;65
To-Carmolandia;93;81;67
To-Carrasco Bonito;0;0;0
To-Caseara;39;36;25
To-Centenario;0;0;0
To-Chapada de Areia;4;9;6
To-Chapada da Natividade;11;9;8
To-Colinas do Tocantins;218;209;198
To-Combinado;6;9;0
To-Conceicao do Tocantins;5;6;4
To-Couto Magalhaes;63;52;31
To-Cristalandia;55;60;34
To-Crixas do Tocantins;9;9;7
