Município;2005;2004;2003
Pa-Medicilandia;0;0;0
Pa-Melgaco;0;0;0
Pa-Mocajuba;0;0;0
Pa-Moju;0;0;0
Pa-Mojui dos Campos;0;0;0
Pa-Monte Alegre;0;0;0
Pa-Muana;0;0;0
Pa-Nova Esperanca do Piria;0;0;0
Pa-Nova Ipixuna;0;0;0
Pa-Nova Timboteua;0;0;0
Pa-Novo Progresso;1;0;0
Pa-Novo Repartimento;0;0;0
Pa-Obidos;0;0;0
Pa-Oeiras do Para;0;0;0
Pa-Oriximina;0;0;0
Pa-Ourem;0;0;0
Pa-Ourilandia do Norte;0;0;0
Pa-Pacaja;0;0;0
Pa-Palestina do Para;0;0;0
Pa-Paragominas;3;1;1
Pa-Parauapebas;0;0;0
Pa-Pau D Arco;0;0;0
Pa-Peixe-Boi;0;0;0
Pa-Picarra;0;0;0
Pa-Placas;0;0;0
Pa-Ponta de Pedras;0;0;0
Pa-Portel;0;0;0
Pa-Porto de Moz;0;0;0
Pa-Prainha;3;0;0
Pa-Primavera;0;0;0
Pa-Quatipuru;0;0;0
Pa-Redencao;0;0;0
Pa-Rio Maria;0;0;0
Pa-Rondon do Para;1;0;0
Pa-Ruropolis;0;0;0
Pa-Salinopolis;0;0;0
Pa-Salvaterra;0;0;0
Pa-Santa Barbara do Para;0;0;0
Pa-Santa Cruz do Arari;0;0;0
Pa-Santa Izabel do Para;0;0;0
Pa-Santa Luzia do Para;0;0;0
Pa-Santa Maria das Barreiras;2;0;0
Pa-Santa Maria do Para;0;0;0
Pa-Santana do Araguaia;3;3;1
Pa-Santarem;4;5;4
Pa-Santarem Novo;0;0;0
Pa-Santo Antonio do Taua;0;0;0
Pa-Sao Caetano de Odivelas;0;0;0
Pa-Sao Domingos do Araguaia;0;0;0
Pa-Sao Domingos do Capim;0;0;0
Pa-Sao Felix do Xingu;0;0;0
Pa-Sao Francisco do Para;0;0;0
Pa-Sao Geraldo do Araguaia;0;0;0
Pa-Sao Joao da Ponta;0;0;0
Pa-Sao Joao de Pirabas;0;0;0
Pa-Sao Joao do Araguaia;0;0;0
Pa-Sao Miguel do Guama;0;0;0
Pa-Sao Sebastiao da Boa Vista;0;0;0
Pa-Sapucaia;0;0;0
Pa-Senador Jose Porfirio;0;0;0
Pa-Soure;0;0;0
Pa-Tailandia;0;0;0
Pa-Terra Alta;0;0;0
Pa-Terra Santa;0;0;0
Pa-Tome-Acu;1;2;2
Pa-Tracuateua;0;0;0
Pa-Trairao;0;0;0
Pa-Tucuma;0;0;0
Pa-Tucurui;0;0;0
Pa-Ulianopolis;0;0;0
Pa-Uruara;0;1;0
Pa-Vigia;0;0;0
Pa-Viseu;0;0;0
Pa-Vitoria do Xingu;0;0;0
Pa-Xinguara;0;0;0
Pa-Ignorado;0;0;0
Ap-Serra do Navio;0;0;0
Ap-Amapa;0;0;0
Ap-Pedra Branca do Amapari;0;0;0
Ap-Calcoene;0;0;0
Ap-Cutias;0;0;0
Ap-Ferreira Gomes;0;0;0
Ap-Itaubal;0;0;0
Ap-Laranjal do Jari;0;0;0
Ap-Macapa;0;0;0
Ap-Mazagao;0;0;0
Ap-Oiapoque;0;0;0
Ap-Porto Grande;0;0;0
Ap-Pracuuba;0;0;0
Ap-Santana;0;0;0
