Nível;Cód.;Município;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
MU;1101500;Seringueiras (RO);156;-;156;840;560;-;-;-;-;615;3600;3600;9000;9000;9000;10263;10011;10011;10011;21278
MU;1101559;Teixeirópolis (RO);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1101609;Theobroma (RO);-;-;-;-;-;-;-;-;-;-;-;-;-;1650;1650;1788;2448;2603;2999;3276
MU;1101708;Urupá (RO);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1101757;Vale do Anari (RO);-;-;-;-;-;-;-;-;-;-;-;-;-;210;402;240;1265;1607;7103;5549
MU;1101807;Vale do Paraíso (RO);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1200013;Acrelândia (AC);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1200054;Assis Brasil (AC);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1200104;Brasiléia (AC);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1200138;Bujari (AC);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1200179;Capixaba (AC);-;-;-;-;-;-;-;-;-;-;-;-;-;-;81;960;1290;1500;3812;4028
MU;1200203;Cruzeiro do Sul (AC);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1200252;Epitaciolândia (AC);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;67;-
MU;1200302;Feijó (AC);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1200328;Jordão (AC);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1200336;Mâncio Lima (AC);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1200344;Manoel Urbano (AC);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1200351;Marechal Thaumaturgo (AC);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1200385;Plácido de Castro (AC);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1716;5805;10167;10230
MU;1200393;Porto Walter (AC);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1200401;Rio Branco (AC);-;-;90;-;300;150;165;330;282;-;154;275;-;150;180;450;2045;3075;4610;5100
MU;1200427;Rodrigues Alves (AC);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1200435;Santa Rosa do Purus (AC);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1200450;Senador Guiomard (AC);-;-;24;24;-;-;-;-;-;-;-;820;-;-;-;-;-;-;900;1008
MU;1200500;Sena Madureira (AC);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1200609;Tarauacá (AC);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1200708;Xapuri (AC);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;600;1221
MU;1200807;Porto Acre (AC);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1080
MU;1300029;Alvarães (AM);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1300060;Amaturá (AM);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1300086;Anamã (AM);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1300102;Anori (AM);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1300144;Apuí (AM);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1300201;Atalaia do Norte (AM);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1300300;Autazes (AM);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1300409;Barcelos (AM);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1300508;Barreirinha (AM);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1300607;Benjamin Constant (AM);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1300631;Beruri (AM);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1300680;Boa Vista do Ramos (AM);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1300706;Boca do Acre (AM);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3740
MU;1300805;Borba (AM);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1300839;Caapiranga (AM);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1300904;Canutama (AM);-;-;-;-;-;-;-;-;-;60;60;-;-;-;-;-;-;-;-;-
MU;1301001;Carauari (AM);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1301100;Careiro (AM);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1301159;Careiro da Várzea (AM);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1301209;Coari (AM);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1301308;Codajás (AM);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1301407;Eirunepé (AM);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1301506;Envira (AM);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1301605;Fonte Boa (AM);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1301654;Guajará (AM);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1301704;Humaitá (AM);4750;5000;4750;4750;1920;600;612;540;540;600;-;-;-;-;-;-;7500;8000;10000;10000
MU;1301803;Ipixuna (AM);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1301852;Iranduba (AM);11;11;11;11;11;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1301902;Itacoatiara (AM);450;450;375;375;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
