Nível;Cód.;Município;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
MU;1101401;Monte Negro (RO);172021;199418;223065;234456;231447;232887;240209;249420;257043;257349;258038;273072;290367;288694;299342;305337;302911;309675;325178;403392
MU;1101435;Nova União (RO);107855;119347;127248;125556;118334;118207;123570;126990;126513;132292;133635;135796;140449;143411;148214;149370;145648;145021;146152;170097
MU;1101450;Parecis (RO);117125;136149;151216;159493;130780;127928;144200;144436;157501;155437;160015;169207;171220;174178;176568;178331;185513;189292;179388;212108
MU;1101468;Pimenteiras do Oeste (RO);104237;109886;108165;126115;122092;117945;119378;118278;121781;116700;119218;118169;142601;133875;126889;138696;114046;119006;125967;118722
MU;1101476;Primavera de Rondônia (RO);77793;74738;75035;70595;68239;68064;67449;71837;71181;72273;72879;72923;79478;76826;74448;75096;76120;75718;79701;91824
MU;1101484;São Felipe D'Oeste (RO);55299;99074;103994;98444;92760;91924;93368;94485;93022;93767;94617;99811;101515;102749;104548;106037;107922;109512;114002;122746
MU;1101492;São Francisco do Guaporé (RO);212196;267254;309739;356298;366361;367014;387330;418428;422150;435470;435786;446567;450615;444565;440897;447277;444048;453890;460585;525537
MU;1101500;Seringueiras (RO);140224;163639;183245;189311;167263;167129;175196;180213;183999;187029;186278;189773;206046;217499;216579;209322;204612;218743;225651;276425
MU;1101559;Teixeirópolis (RO);69454;86530;90519;84799;85631;86986;89927;93479;95241;96109;96628;97200;98334;101089;101765;101214;100129;101523;103846;117663
MU;1101609;Theobroma (RO);212596;233603;255134;262905;247848;242849;239159;253717;259440;250974;240540;257790;267952;262109;278846;279830;274396;269709;272953;304610
MU;1101708;Urupá (RO);117211;139544;153665;156005;145587;148178;153753;152715;156434;161774;162567;166665;167596;172656;179442;181635;171547;173029;176362;197131
MU;1101757;Vale do Anari (RO);77039;100079;111978;107248;109064;113613;121482;128471;121179;113210;114935;128586;141624;144962;145140;149916;152188;159969;159975;186174
MU;1101807;Vale do Paraíso (RO);157309;150392;160569;159341;149139;150423;154962;158752;158892;158658;163118;165588;166138;168720;173956;173543;172782;173721;172414;193433
MU;1200013;Acrelândia (AC);116383;123837;150902;178905;168142;185359;185359;188756;173174;173341;176318;181757;191969;195409;185933;211543;228063;250619;250589;265517
MU;1200054;Assis Brasil (AC);13870;16646;23519;26398;24565;28420;31058;33208;35454;38796;39318;41791;43684;41070;43859;49578;52286;49451;58266;71801
MU;1200104;Brasiléia (AC);150901;138572;152363;171864;161993;177158;183082;182221;186067;197588;202584;209888;222677;223278;213298;250032;262722;278548;314001;352222
MU;1200138;Bujari (AC);148819;168134;199046;208766;189314;214675;210296;222599;210211;204816;206059;216695;217238;215995;189023;232272;247390;268278;309017;340607
MU;1200179;Capixaba (AC);89993;101317;109173;118943;113317;113884;114795;119301;118040;138677;147187;153850;155881;157224;159884;181103;180592;207870;212303;222242
MU;1200203;Cruzeiro do Sul (AC);54778;34895;36127;42394;35975;37809;40546;42956;33985;32974;35266;33417;35890;33997;34367;36067;37997;38894;34319;49823
MU;1200252;Epitaciolândia (AC);42456;55140;61086;71324;75190;87718;88420;79639;78894;82683;83657;82515;88726;119258;121618;129645;134074;144344;158055;173534
MU;1200302;Feijó (AC);59284;58098;58936;60600;55902;67062;70233;71783;73355;80990;81324;83632;87198;98938;110674;122469;132496;162670;169600;222223
MU;1200328;Jordão (AC);3734;4014;4214;4509;6765;5540;5645;6207;6303;6100;6293;5421;5678;5668;7226;7753;7737;9293;9596;13142
MU;1200336;Mâncio Lima (AC);9705;12182;14066;16035;13380;15881;16514;16720;13733;14108;13271;12964;12517;13789;14892;16127;17037;17569;17448;24919
MU;1200344;Manoel Urbano (AC);13773;14313;16316;22839;26497;23500;23816;24771;24391;25532;29657;31633;33710;38260;42375;47140;55066;62534;75736;103598
MU;1200351;Marechal Thaumaturgo (AC);4603;4695;5258;4957;22805;25162;25891;25901;16900;17100;14828;9997;10297;10052;11264;11637;12157;13912;14947;16516
MU;1200385;Plácido de Castro (AC);148688;148618;145530;163166;171509;158266;159609;159300;140928;163722;168993;174038;183986;188080;189046;215623;230627;264775;283313;310934
MU;1200393;Porto Walter (AC);4478;4612;4953;4431;5286;5485;5588;5432;6720;8050;9711;8020;7461;7779;8017;7623;9368;13040;15243;18535
MU;1200401;Rio Branco (AC);356437;412486;458440;454728;368432;382665;386170;440534;466240;487534;498418;513259;542781;524670;402700;437885;474375;529562;532713;619876
MU;1200427;Rodrigues Alves (AC);13847;11393;11553;11553;10913;11337;11903;12100;9503;9804;8641;8439;9234;10793;14788;16999;16951;19132;20263;25214
MU;1200435;Santa Rosa do Purus (AC);1917;2100;2839;2189;3527;3286;4602;4721;4698;6500;5163;6138;5628;6151;7232;7206;7871;10206;12261;11778
MU;1200450;Senador Guiomard (AC);167888;230840;265393;257518;232185;232719;255820;258832;249490;213369;222955;223769;225359;238987;269448;344780;366903;340800;361801;392960
MU;1200500;Sena Madureira (AC);135225;156658;177908;186642;181323;195984;211766;201707;214368;223329;224450;267220;280223;292829;282816;301831;325621;364564;385448;486021
MU;1200609;Tarauacá (AC);81232;84887;91853;97552;92749;122184;133024;133574;134134;134121;133165;132773;136161;146359;153620;155630;161274;161618;171897;217924
MU;1200708;Xapuri (AC);149946;160325;190986;204163;178829;186916;193913;194870;209250;206291;219082;225991;235432;240117;216684;255162;261200;266410;300689;328335
MU;1200807;Porto Acre (AC);106847;118928;132724;143439;177200;144677;153235;153328;143659;169042;171149;176466;184477;190266;216264;265528;287875;328023;339778;367660
MU;1300029;Alvarães (AM);3921;4097;4219;4349;874;1065;1081;619;729;619;620;626;446;420;465;420;456;460;504;512
MU;1300060;Amaturá (AM);620;651;683;707;1275;1306;1323;1714;1720;1720;1800;1400;1139;1160;1243;1168;1061;1220;1225;893
MU;1300086;Anamã (AM);1145;1162;937;970;1248;1266;1282;722;781;780;630;692;590;480;450;500;408;400;452;450
MU;1300102;Anori (AM);1479;1523;2330;2410;1130;1130;1146;2392;2400;2126;1871;1871;1800;1750;1209;1221;1088;1050;1000;1060
MU;1300144;Apuí (AM);86000;92880;95660;99000;130371;136886;138665;137507;146200;132890;145000;156000;160000;132182;136675;140000;157086;160000;168000;190000
MU;1300201;Atalaia do Norte (AM);-;-;-;-;87;92;93;92;115;156;170;156;120;97;106;115;111;114;90;54
MU;1300300;Autazes (AM);55638;58142;62000;64170;21000;68078;68963;55231;52355;46404;46076;53000;44658;39024;40456;48026;42725;43500;50013;50593
MU;1300409;Barcelos (AM);252;271;279;288;70;165;167;132;135;85;91;85;65;23;22;22;25;29;29;35
MU;1300508;Barreirinha (AM);29811;31003;31933;33050;33106;39860;40378;45691;51704;45891;46867;41089;37829;40080;30099;31000;31801;32337;29589;27300
MU;1300607;Benjamin Constant (AM);3023;3129;3242;3339;300;742;752;789;829;796;785;718;722;658;719;709;703;565;565;556
MU;1300631;Beruri (AM);653;686;706;731;868;906;1800;1600;1945;1010;1281;1740;1336;1350;1250;1476;1370;1321;1126;1056
MU;1300680;Boa Vista do Ramos (AM);11978;12517;12892;13330;11113;15501;15718;18428;18215;19098;19671;16726;14624;14833;14177;14389;14645;14705;13076;12049
MU;1300706;Boca do Acre (AM);270000;274050;282260;292139;80697;83924;85015;85015;84954;90758;93880;94844;99586;200317;201050;210000;222000;226000;235000;237500
MU;1300805;Borba (AM);1941;2057;2118;2192;5699;5729;5815;4354;5200;6020;6120;4000;4082;3833;3640;3550;5494;3671;2974;3553
MU;1300839;Caapiranga (AM);942;975;1004;1039;885;1866;1866;1792;1821;1820;2282;2003;2026;1631;1944;1867;1930;1875;1876;1750
MU;1300904;Canutama (AM);14545;14400;14832;15351;13618;13690;13895;14900;15730;23092;22640;21958;23458;23343;25000;25062;26262;24916;26047;26442
MU;1301001;Carauari (AM);4465;4599;4828;4997;6054;7202;7310;6358;6074;5737;6570;6409;5446;5508;4992;4758;4829;4120;4677;4850
MU;1301100;Careiro (AM);18263;17989;18528;19176;48443;25000;25325;25850;26000;19862;21645;23478;26018;15448;22910;22996;28775;30000;17100;16055
MU;1301159;Careiro da Várzea (AM);74364;73620;78914;81675;53415;55018;55733;60765;60800;60355;62716;55406;41502;46830;55827;49687;48066;47600;46994;69167
MU;1301209;Coari (AM);2753;3918;4587;4747;4417;4822;4894;2599;3250;2350;2756;3100;2950;3049;2105;2265;2148;1940;2000;2120
MU;1301308;Codajás (AM);2890;2991;3012;3117;2177;2428;2460;1949;1952;2316;3000;3200;2500;2249;2315;2240;2408;2400;2024;2128
MU;1301407;Eirunepé (AM);11151;12839;13224;13686;14395;18371;19289;20253;18180;17500;20714;14000;12380;12000;11133;10805;10882;11980;11689;12235
MU;1301506;Envira (AM);11636;11927;12284;12713;33581;23000;23690;17291;17291;18000;14108;13832;17800;19750;19500;21582;23312;24096;28007;29893
MU;1301605;Fonte Boa (AM);3049;3019;3109;3218;2941;3004;3049;2375;2700;2468;2253;2820;3006;2532;2212;2348;2513;2380;2546;2532
MU;1301654;Guajará (AM);29951;30550;31466;32567;34195;35904;36950;41000;45650;41000;32900;37000;29169;25839;26674;27855;30533;23668;34434;42503
MU;1301704;Humaitá (AM);14957;15107;15560;16104;20801;22406;22742;22066;25000;21166;20980;18500;20781;19869;22824;23100;22695;23500;27800;31700
MU;1301803;Ipixuna (AM);5916;6212;6398;6621;11597;16679;17170;15488;15500;15168;12163;13200;11485;12193;12957;13710;14626;13968;18041;19425
MU;1301852;Iranduba (AM);9696;10000;11500;11902;4303;5762;5843;6625;7200;7333;7598;6386;6580;6607;7200;5094;4252;5762;7021;7498
MU;1301902;Itacoatiara (AM);64005;65925;67902;70278;47494;62897;63715;42554;50313;71699;67818;52218;52729;44800;45029;47493;50565;30912;47204;49993
MU;1301951;Itamarati (AM);746;735;757;779;1886;1846;1874;2087;2500;1732;1980;1618;1748;1786;1448;1600;1036;985;950;1275
MU;1302009;Itapiranga (AM);9773;10200;10506;10873;4802;4943;5017;4997;6180;6234;6000;4660;3776;3522;3624;3420;3587;4158;3902;3728
MU;1302108;Japurá (AM);-;-;-;-;354;620;629;562;601;600;757;863;924;882;824;948;897;920;932;940
MU;1302207;Juruá (AM);798;826;1400;1449;971;1841;1868;1522;1534;1589;1573;1282;5600;4500;1400;1420;1220;1200;1320;938
MU;1302306;Jutaí (AM);1386;1455;1498;1550;1244;1458;1480;740;730;600;589;650;850;431;445;611;728;730;800;1100
MU;1302405;Lábrea (AM);6762;6593;6790;7027;285519;283620;287591;287591;287500;331213;339482;339928;313665;315237;310000;300000;318676;319501;328300;329800
MU;1302504;Manacapuru (AM);23692;24521;19776;20468;2159;2164;20568;20058;22648;18200;21326;17503;14780;14135;11298;16458;16251;13378;13480;14798
MU;1302553;Manaquiri (AM);24495;25107;25860;26765;5324;5483;5554;6500;9091;9370;10852;10978;8595;7610;7739;8478;8908;9180;9315;9433
MU;1302603;Manaus (AM);8525;8909;12658;13101;4698;2091;2118;6811;6800;6200;6178;4179;3951;4338;5225;3748;4479;3880;4810;5745
MU;1302702;Manicoré (AM);12560;12810;12810;13258;56390;63213;64098;71341;102657;100150;105820;100833;100837;95100;110900;115000;123722;125400;133250;134500
MU;1302801;Maraã (AM);180;188;197;203;1493;865;878;714;735;828;797;828;1700;1151;1160;1230;1240;1235;1140;1184
MU;1302900;Maués (AM);8700;9005;9275;9600;22358;17728;17976;17758;18500;16685;17102;17698;14700;11916;13364;19157;21183;21718;10833;10005
MU;1303007;Nhamundá (AM);35107;35809;36883;38173;24010;24922;25245;32421;33393;40824;41831;32436;19219;23140;23032;18978;21902;22140;22000;21327
MU;1303106;Nova Olinda do Norte (AM);5608;5973;6152;10992;5528;5600;5673;8532;8532;8258;8580;8634;9250;7862;8576;7505;7221;7360;7063;9040
MU;1303205;Novo Airão (AM);1175;1128;1600;1656;1131;1260;1077;921;921;693;640;640;404;399;430;391;326;341;421;567
MU;1303304;Novo Aripuanã (AM);16389;17208;17724;18332;11620;12120;12290;13989;14827;15630;15100;12200;11850;12120;16230;33523;40948;42100;42800;43200
MU;1303403;Parintins (AM);107146;112503;115878;119839;107312;141394;143090;147382;151803;120535;124151;101390;66667;56456;55219;52179;48792;49596;50200;53203
MU;1303502;Pauini (AM);6784;6818;6818;7056;7973;8200;8307;10364;11000;11000;11200;10100;10100;8549;9000;9066;10070;10700;10500;10560
MU;1303536;Presidente Figueiredo (AM);6553;7077;7289;7544;10859;11000;11143;14695;14700;13979;14500;12907;11107;9873;9606;8815;9945;11120;11957;11450
MU;1303569;Rio Preto da Eva (AM);6048;6562;6758;6994;4345;905;919;1838;1890;1900;2281;5490;4222;3158;3527;3631;4703;2198;1896;1815
MU;1303601;Santa Isabel do Rio Negro (AM);300;297;392;405;149;390;395;314;336;380;299;344;247;251;174;176;150;300;350;104
MU;1303700;Santo Antônio do Içá (AM);1010;1091;1123;1156;1544;1637;1658;1234;1350;1624;1400;1421;1304;1121;1271;1240;1294;1240;1370;1400
MU;1303809;São Gabriel da Cachoeira (AM);856;886;703;724;137;141;143;296;295;250;120;140;90;90;120;107;104;120;123;165
MU;1303908;São Paulo de Olivença (AM);1565;1659;1708;1759;447;456;462;687;690;600;523;396;318;305;250;348;361;312;320;312
MU;1303957;São Sebastião do Uatumã (AM);2024;2125;2188;2254;5013;5368;5449;10898;13200;17400;14000;11000;12500;10000;11000;10847;11109;10104;10812;11022
MU;1304005;Silves (AM);22820;23733;24440;25173;13706;14446;14634;10209;11638;12500;11715;12500;11883;9745;9017;11369;11726;11050;12539;10152
MU;1304062;Tabatinga (AM);2569;2672;2752;2848;288;496;502;925;930;802;721;628;522;650;700;389;322;261;246;235
MU;1304104;Tapauá (AM);1655;1605;1653;1710;3462;3402;3450;3105;2950;3080;2789;1950;1950;1709;1500;903;1050;824;758;672
MU;1304203;Tefé (AM);1231;1577;1624;1680;992;2029;2059;1862;2169;2462;1873;1825;1577;1620;1680;1520;1231;1235;1096;1155
MU;1304237;Tonantins (AM);1945;2042;2103;2176;1537;1583;1604;1530;1800;1700;1588;1588;1049;1048;950;1041;2003;1184;1253;1537
MU;1304260;Uarini (AM);465;462;475;491;868;951;965;483;671;582;580;500;570;553;570;560;598;600;612;538
MU;1304302;Urucará (AM);37486;39548;40734;42159;13836;14300;14515;27425;27425;23560;22500;23000;18000;15668;15660;14864;14804;13750;13714;12775
MU;1304401;Urucurituba (AM);29612;29360;30240;31298;20543;21181;21456;14858;14858;16360;16685;18642;14543;13041;13452;13230;12487;14500;16000;9706
MU;1400027;Amajari (RR);57000;65000;66000;66900;66000;60000;59500;65000;75308;78332;80054;77654;86395;91913;103026;100869;106011;109050;111130;124539
MU;1400050;Alto Alegre (RR);62000;70000;75000;75100;72000;71900;72000;79000;84419;82104;81241;83005;84719;87057;86153;84513;88320;87338;89067;105211
MU;1400100;Boa Vista (RR);33500;30000;30000;30000;28000;25000;25000;27000;26309;25944;27778;24177;25529;24288;26667;27871;26885;26118;26708;24710
MU;1400159;Bonfim (RR);60000;60000;70000;70000;50000;50000;49500;50000;48658;50790;60000;62401;66709;64084;67177;67601;72023;74470;75520;78039
MU;1400175;Cantá (RR);36000;40000;65000;65300;65000;60000;59960;60000;69941;76453;81691;74644;73165;63898;58096;65651;70735;76939;77320;103671
MU;1400209;Caracaraí (RR);26000;30000;33000;33000;31000;28000;28100;29000;32892;33205;29036;33776;39328;38192;36919;43636;44780;47595;47766;77425
