Município;2005;2004;2003
Pa-Cachoeira do Piria;1;1;1
Pa-Cachoeira do Arari;2;3;3
Pa-Cameta;0;0;0
Pa-Canaa dos Carajas;21;16;9
Pa-Capanema;5;6;5
Pa-Capitao Poco;5;4;4
Pa-Castanhal;29;18;17
Pa-Chaves;11;9;10
Pa-Colares;0;0;0
Pa-Conceicao do Araguaia;79;72;56
Pa-Concordia do Para;1;0;0
Pa-Cumaru do Norte;55;45;49
Pa-Curionopolis;67;66;56
Pa-Curralinho;0;0;0
Pa-Curua;0;0;0
Pa-Curuca;0;1;0
Pa-Dom Eliseu;57;46;23
Pa-Eldorado do Carajas;27;19;15
Pa-Faro;0;0;0
Pa-Floresta do Araguaia;19;19;15
Pa-Garrafao do Norte;1;1;0
Pa-Goianesia do Para;36;29;15
Pa-Gurupa;1;1;1
Pa-Igarape-Acu;3;0;1
Pa-Igarape-Miri;0;1;2
Pa-Inhangapi;3;2;2
Pa-Ipixuna do Para;19;13;10
Pa-Irituia;12;14;13
Pa-Itaituba;19;7;4
Pa-Itupiranga;63;60;35
Pa-Jacareacanga;0;0;2
Pa-Jacunda;32;31;11
Pa-Juruti;0;0;0
Pa-Limoeiro do Ajuru;0;0;0
Pa-Mae do Rio;12;7;8
Pa-Magalhaes Barata;0;0;0
Pa-Maraba;214;218;160
Pa-Maracana;1;0;0
Pa-Marapanim;0;1;1
Pa-Marituba;0;0;1
Pa-Medicilandia;3;2;2
Pa-Melgaco;0;0;0
Pa-Mocajuba;0;0;0
Pa-Moju;6;5;3
Pa-Mojui dos Campos;0;0;0
Pa-Monte Alegre;4;5;4
Pa-Muana;4;5;4
Pa-Nova Esperanca do Piria;0;0;0
Pa-Nova Ipixuna;13;12;12
Pa-Nova Timboteua;4;4;4
Pa-Novo Progresso;35;20;11
Pa-Novo Repartimento;51;44;21
Pa-Obidos;19;16;11
Pa-Oeiras do Para;1;1;0
Pa-Oriximina;14;16;15
Pa-Ourem;3;0;1
Pa-Ourilandia do Norte;39;32;29
Pa-Pacaja;40;29;16
Pa-Palestina do Para;10;11;5
Pa-Paragominas;157;160;127
Pa-Parauapebas;61;54;37
Pa-Pau D Arco;34;26;25
Pa-Peixe-Boi;9;8;3
Pa-Picarra;72;54;39
Pa-Placas;0;0;0
Pa-Ponta de Pedras;13;13;10
Pa-Portel;10;9;6
Pa-Porto de Moz;4;2;3
Pa-Prainha;5;4;4
Pa-Primavera;1;0;0
Pa-Quatipuru;1;0;0
Pa-Redencao;88;84;96
Pa-Rio Maria;137;112;66
Pa-Rondon do Para;195;132;61
Pa-Ruropolis;0;1;1
Pa-Salinopolis;0;0;0
Pa-Salvaterra;1;1;1
Pa-Santa Barbara do Para;1;1;0
Pa-Santa Cruz do Arari;2;1;1
Pa-Santa Izabel do Para;11;7;6
Pa-Santa Luzia do Para;5;6;4
Pa-Santa Maria das Barreiras;73;62;60
Pa-Santa Maria do Para;3;2;2
Pa-Santana do Araguaia;121;99;95
Pa-Santarem;25;28;28
Pa-Santarem Novo;3;1;1
Pa-Santo Antonio do Taua;6;5;4
Pa-Sao Caetano de Odivelas;1;1;1
Pa-Sao Domingos do Araguaia;24;18;8
Pa-Sao Domingos do Capim;12;11;7
Pa-Sao Felix do Xingu;222;192;126
Pa-Sao Francisco do Para;8;7;7
Pa-Sao Geraldo do Araguaia;97;73;34
Pa-Sao Joao da Ponta;0;0;0
Pa-Sao Joao de Pirabas;0;0;0
Pa-Sao Joao do Araguaia;16;20;16
Pa-Sao Miguel do Guama;18;17;16
Pa-Sao Sebastiao da Boa Vista;0;0;0
Pa-Sapucaia;23;22;26
Pa-Senador Jose Porfirio;3;2;2
Pa-Soure;9;7;4
Pa-Tailandia;15;16;9
Pa-Terra Alta;2;3;1
Pa-Terra Santa;1;1;1
Pa-Tome-Acu;35;30;20
Pa-Tracuateua;1;1;1
Pa-Trairao;2;2;1
Pa-Tucuma;37;26;11
Pa-Tucurui;25;27;18
Pa-Ulianopolis;31;24;15
Pa-Uruara;15;12;10
Pa-Vigia;3;1;2
Pa-Viseu;7;6;4
Pa-Vitoria do Xingu;21;15;12
Pa-Xinguara;140;146;96
Pa-Ignorado;0;0;0
Ap-Serra do Navio;0;0;0
Ap-Amapa;2;0;0
Ap-Pedra Branca do Amapari;0;0;0
Ap-Calcoene;0;0;1
Ap-Cutias;0;0;0
Ap-Ferreira Gomes;0;0;0
Ap-Itaubal;0;0;1
Ap-Laranjal do Jari;0;0;0
Ap-Macapa;14;21;12
Ap-Mazagao;1;1;1
Ap-Oiapoque;0;0;0
Ap-Porto Grande;1;0;0
Ap-Pracuuba;0;0;0
Ap-Santana;4;2;3
Ap-Tartarugalzinho;1;1;1
Ap-Vitoria do Jari;0;0;0
Ap-Ignorado;0;0;0
To-Abreulandia;18;12;10
To-Aguiarnopolis;2;1;2
To-Alianca do Tocantins;33;26;31
To-Almas;6;10;7
To-Alvorada;56;33;17
To-Ananas;43;38;31
To-Angico;6;5;6
To-Aparecida do Rio Negro;16;6;7
To-Aragominas;39;31;14
To-Araguacema;13;14;6
To-Araguacu;99;91;84
To-Araguaina;313;311;213
To-Araguana;21;21;18
To-Araguatins;35;26;8
To-Arapoema;103;107;84
To-Arraias;34;26;13
To-Augustinopolis;8;10;4
To-Aurora do Tocantins;5;4;3
To-Axixa do Tocantins;9;6;2
To-Babaculandia;53;36;22
To-Bandeirantes do Tocantins;48;46;26
To-Barra do Ouro;1;2;1
To-Barrolandia;30;31;21
To-Bernardo Sayao;27;26;20
To-Bom Jesus do Tocantins;1;1;1
To-Brasilandia do Tocantins;13;12;1
To-Brejinho de Nazare;39;37;33
To-Buriti do Tocantins;2;1;0
To-Cachoeirinha;4;2;0
To-Campos Lindos;2;1;1
To-Cariri do Tocantins;37;31;23
To-Carmolandia;14;14;13
To-Carrasco Bonito;0;0;0
To-Caseara;14;11;9
To-Centenario;0;0;0
To-Chapada de Areia;6;8;4
To-Chapada da Natividade;6;6;4
To-Colinas do Tocantins;107;114;73
To-Combinado;2;2;0
To-Conceicao do Tocantins;5;5;3
To-Couto Magalhaes;15;14;12
To-Cristalandia;38;32;19
To-Crixas do Tocantins;4;6;5
To-Darcinopolis;19;13;11
To-Dianopolis;23;17;12
To-Divinopolis do Tocantins;54;37;43
To-Dois Irmaos do Tocantins;39;31;29
To-Duere;67;53;49
To-Esperantina;1;0;0
To-Fatima;7;6;5
To-Figueiropolis;57;52;37
To-Filadelfia;37;29;13
To-Formoso do Araguaia;57;54;41
To-Fortaleza do Tabocao;9;10;8
To-Goianorte;8;6;2
To-Goiatins;9;7;4
To-Guarai;72;72;45
To-Gurupi;172;162;133
To-Ipueiras;4;2;3
To-Itacaja;5;3;3
To-Itaguatins;11;9;5
To-Itapiratins;14;10;3
To-Itapora do Tocantins;23;22;16
To-Jau do Tocantins;20;14;11
To-Juarina;4;5;3
To-Lagoa da Confusao;13;12;11
To-Lagoa do Tocantins;1;1;1
To-Lajeado;4;1;0
To-Lavandeira;2;1;1
To-Lizarda;2;2;1
To-Luzinopolis;4;4;4
To-Marianopolis do Tocantins;30;31;26
To-Mateiros;1;0;0
To-Maurilandia do Tocantins;1;1;1
To-Miracema do Tocantins;88;78;73
To-Miranorte;32;35;25
To-Monte do Carmo;45;42;27
To-Monte Santo do Tocantins;10;10;15
To-Palmeiras do Tocantins;11;8;4
To-Muricilandia;31;28;16
To-Natividade;31;25;14
To-Nazare;7;5;4
To-Nova Olinda;37;31;20
To-Nova Rosalandia;5;8;6
To-Novo Acordo;3;3;3
To-Novo Alegre;3;3;2
To-Novo Jardim;5;4;2
To-Oliveira de Fatima;5;3;4
To-Palmeirante;24;16;12
To-Palmeiropolis;31;24;29
To-Paraiso do Tocantins;132;146;98
To-Parana;24;15;7
To-Pau D Arco;19;17;8
To-Pedro Afonso;9;7;7
To-Peixe;73;61;59
To-Pequizeiro;24;18;14
To-Colmeia;21;16;13
To-Pindorama do Tocantins;2;3;2
To-Piraque;27;27;22
To-Pium;75;61;49
To-Ponte Alta do Bom Jesus;3;2;0
To-Ponte Alta do Tocantins;8;6;9
To-Porto Alegre do Tocantins;1;1;0
To-Porto Nacional;130;125;100
To-Praia Norte;2;0;0
To-Presidente Kennedy;27;26;21
To-Pugmil;4;6;6
To-Recursolandia;3;4;1
To-Riachinho;7;8;4
To-Rio da Conceicao;0;1;1
To-Rio dos Bois;9;8;3
To-Rio Sono;7;5;1
To-Sampaio;1;1;0
To-Sandolandia;24;20;17
To-Santa Fe do Araguaia;57;47;40
To-Santa Maria do Tocantins;1;2;1
To-Santa Rita do Tocantins;15;11;6
To-Santa Rosa do Tocantins;14;16;14
To-Santa Tereza do Tocantins;5;3;3
To-Santa Terezinha do Tocantins;5;1;2
To-Sao Bento do Tocantins;10;8;2
To-Sao Felix do Tocantins;0;0;0
To-Sao Miguel do Tocantins;8;4;4
To-Sao Salvador do Tocantins;7;5;4
To-Sao Sebastiao do Tocantins;0;0;0
To-Sao Valerio;15;13;6
To-Silvanopolis;8;6;3
To-Sitio Novo do Tocantins;5;3;3
To-Sucupira;22;17;12
To-Taguatinga;10;6;7
To-Taipas do Tocantins;2;2;1
To-Talisma;36;22;15
To-Palmas;68;64;59
To-Tocantinia;6;7;3
To-Tocantinopolis;29;21;16
To-Tupirama;2;2;3
To-Tupiratins;7;5;5
To-Wanderlandia;32;32;18
To-Xambioa;65;61;42
To-Ignorado;0;0;0
Ma-Acailandia;153;123;86
Ma-Afonso Cunha;0;0;0
Ma-Agua Doce do Maranhao;0;0;0
Ma-Alcantara;0;0;0
Ma-Aldeias Altas;1;0;0
Ma-Altamira do Maranhao;3;2;2
Ma-Alto Alegre do Maranhao;1;1;0
Ma-Alto Alegre do Pindare;1;0;0
Ma-Alto Parnaiba;0;0;0
Ma-Amapa do Maranhao;0;0;0
Ma-Amarante do Maranhao;12;9;8
Ma-Anajatuba;0;0;0
Ma-Anapurus;0;0;0
Ma-Apicum-Acu;0;0;0
Ma-Araguana;1;1;1
Ma-Araioses;1;1;1
Ma-Arame;1;1;2
Ma-Arari;1;0;1
Ma-Axixa;0;0;0
Ma-Bacabal;54;56;42
Ma-Bacabeira;0;0;0
Ma-Bacuri;0;0;0
Ma-Bacurituba;0;0;0
Ma-Balsas;8;8;4
Ma-Barao de Grajau;0;0;0
Ma-Barra do Corda;1;1;1
Ma-Barreirinhas;0;0;0
Ma-Belagua;0;0;0
Ma-Bela Vista do Maranhao;1;1;0
Ma-Benedito Leite;0;0;0
Ma-Bequimao;1;1;1
Ma-Bernardo do Mearim;1;0;0
Ma-Boa Vista do Gurupi;0;0;0
Ma-Bom Jardim;18;9;6
Ma-Bom Jesus das Selvas;19;13;7
Ma-Bom Lugar;2;1;0
Ma-Brejo;0;0;0
Ma-Brejo de Areia;1;1;0
Ma-Buriti;0;0;0
Ma-Buriti Bravo;1;1;1
Ma-Buriticupu;4;5;2
Ma-Buritirana;8;4;3
Ma-Cachoeira Grande;0;0;0
Ma-Cajapio;0;0;0
Ma-Cajari;0;0;0
Ma-Campestre do Maranhao;3;1;0
Ma-Candido Mendes;0;0;0
Ma-Cantanhede;2;2;2
Ma-Capinzal do Norte;2;1;1
Ma-Carolina;8;6;1
Ma-Carutapera;16;15;11
Ma-Caxias;3;2;3
Ma-Cedral;0;0;0
Ma-Central do Maranhao;0;0;0
Ma-Centro do Guilherme;0;0;0
Ma-Centro Novo do Maranhao;5;5;3
Ma-Chapadinha;0;0;1
Ma-Cidelandia;18;9;8
Ma-Codo;5;5;9
Ma-Coelho Neto;1;1;1
Ma-Colinas;0;0;0
Ma-Conceicao do Lago-Acu;3;3;2
Ma-Coroata;0;0;1
Ma-Cururupu;0;0;0
Ma-Davinopolis;2;2;3
Ma-Dom Pedro;1;1;1
Ma-Duque Bacelar;0;0;0
Ma-Esperantinopolis;0;0;0
Ma-Estreito;19;13;7
Ma-Feira Nova do Maranhao;1;0;0
Ma-Fernando Falcao;0;0;0
Ma-Formosa da Serra Negra;0;0;0
Ma-Fortaleza dos Nogueiras;1;1;0
Ma-Fortuna;0;0;0
Ma-Godofredo Viana;0;0;0
Ma-Goncalves Dias;1;0;0
Ma-Governador Archer;0;0;0
Ma-Governador Edison Lobao;16;10;8
Ma-Governador Eugenio Barros;1;0;1
Ma-Governador Luiz Rocha;0;0;0
Ma-Governador Newton Bello;3;2;1
Ma-Governador Nunes Freire;0;0;0
Ma-Graca Aranha;0;0;0
Ma-Grajau;15;12;12
Ma-Guimaraes;0;0;0
Ma-Humberto de Campos;0;0;0
Ma-Icatu;0;0;0
Ma-Igarape do Meio;3;3;0
Ma-Igarape Grande;2;5;6
Ma-Imperatriz;119;105;67
Ma-Itaipava do Grajau;0;0;0
Ma-Itapecuru Mirim;3;2;3
Ma-Itinga do Maranhao;35;24;14
Ma-Jatoba;0;0;0
Ma-Jenipapo dos Vieiras;0;0;0
Ma-Joao Lisboa;21;10;8
Ma-Joselandia;0;0;0
Ma-Junco do Maranhao;2;1;0
Ma-Lago da Pedra;7;5;6
Ma-Lago do Junco;5;4;2
Ma-Lago Verde;3;3;2
Ma-Lagoa do Mato;1;1;1
Ma-Lago dos Rodrigues;1;1;0
Ma-Lagoa Grande do Maranhao;0;0;0
Ma-Lajeado Novo;1;0;1
Ma-Lima Campos;1;1;0
Ma-Loreto;0;0;0
Ma-Luis Domingues;0;0;0
Ma-Magalhaes de Almeida;0;0;0
Ma-Maracacume;1;1;0
Ma-Maraja do Sena;0;0;0
Ma-Maranhaozinho;0;0;0
Ma-Mata Roma;0;0;0
Ma-Matinha;1;1;1
Ma-Matoes;0;0;0
Ma-Matoes do Norte;1;2;2
Ma-Milagres do Maranhao;0;0;0
Ma-Mirador;0;0;0
Ma-Miranda do Norte;3;2;1
Ma-Mirinzal;0;0;0
Ma-Moncao;0;0;0
Ma-Montes Altos;13;9;10
Ma-Morros;0;0;0
Ma-Nina Rodrigues;0;0;0
Ma-Nova Colinas;0;0;0
Ma-Nova Iorque;1;1;0
Ma-Nova Olinda do Maranhao;1;1;1
Ma-Olho D Agua das Cunhas;6;4;2
Ma-Olinda Nova do Maranhao;0;0;0
Ma-Paco do Lumiar;0;0;0
Ma-Palmeirandia;1;1;0
Ma-Paraibano;0;0;0
Ma-Parnarama;6;5;4
Ma-Passagem Franca;1;0;0
Ma-Pastos Bons;0;0;0
Ma-Paulino Neves;0;0;0
Ma-Paulo Ramos;1;0;0
Ma-Pedreiras;4;3;4
Ma-Pedro do Rosario;2;2;0
Ma-Penalva;0;0;0
Ma-Peri Mirim;0;0;0
Ma-Peritoro;1;0;1
Ma-Pindare-Mirim;1;2;1
Ma-Pinheiro;3;3;2
Ma-Pio Xii;1;2;2
Ma-Pirapemas;1;1;0
Ma-Pocao de Pedras;2;2;2
Ma-Porto Franco;20;17;14
Ma-Porto Rico do Maranhao;0;0;0
Ma-Presidente Dutra;2;3;3
Ma-Presidente Juscelino;0;0;0
Ma-Presidente Medici;0;0;0
Ma-Presidente Sarney;1;0;0
Ma-Presidente Vargas;0;0;0
Ma-Primeira Cruz;0;0;0
Ma-Raposa;0;0;0
Ma-Riachao;6;5;6
Ma-Ribamar Fiquene;16;11;9
Ma-Rosario;1;1;0
Ma-Sambaiba;0;0;1
Ma-Santa Filomena do Maranhao;1;0;0
Ma-Santa Helena;1;1;0
Ma-Santa Ines;10;9;10
Ma-Santa Luzia;16;10;10
Ma-Santa Luzia do Parua;0;0;0
Ma-Santa Quiteria do Maranhao;0;0;0
Ma-Santa Rita;0;0;0
Ma-Santana do Maranhao;0;0;0
Ma-Santo Amaro do Maranhao;0;0;0
Ma-Santo Antonio dos Lopes;3;1;0
Ma-Sao Benedito do Rio Preto;0;0;0
Ma-Sao Bento;0;0;0
Ma-Sao Bernardo;0;0;0
Ma-Sao Domingos do Azeitao;0;0;0
Ma-Sao Domingos do Maranhao;0;0;1
Ma-Sao Felix de Balsas;0;0;0
Ma-Sao Francisco do Brejao;16;7;3
Ma-Sao Francisco do Maranhao;0;0;0
Ma-Sao Joao Batista;0;0;0
Ma-Sao Joao do Caru;2;2;1
Ma-Sao Joao do Paraiso;5;4;3
Ma-Sao Joao do Soter;1;0;0
Ma-Sao Joao dos Patos;1;0;0
Ma-Sao Jose de Ribamar;0;0;0
Ma-Sao Jose dos Basilios;0;0;0
Ma-Sao Luis;14;10;10
Ma-Sao Luis Gonzaga do Maranhao;8;6;5
Ma-Sao Mateus do Maranhao;0;0;0
Ma-Sao Pedro da Agua Branca;2;2;3
Ma-Sao Pedro dos Crentes;1;1;0
Ma-Sao Raimundo das Mangabeiras;0;0;1
Ma-Sao Raimundo do Doca Bezerra;0;0;0
Ma-Sao Roberto;0;0;0
Ma-Sao Vicente Ferrer;0;0;0
Ma-Satubinha;1;0;0
Ma-Senador Alexandre Costa;0;0;0
Ma-Senador La Rocque;17;10;8
Ma-Serrano do Maranhao;0;0;0
Ma-Sitio Novo;2;0;0
Ma-Sucupira do Norte;0;0;0
Ma-Sucupira do Riachao;0;0;0
Ma-Tasso Fragoso;2;0;0
Ma-Timbiras;0;0;0
Ma-Timon;1;1;1
Ma-Trizidela do Vale;3;1;1
Ma-Tufilandia;0;0;0
Ma-Tuntum;4;3;3
Ma-Turiacu;0;0;0
Ma-Turilandia;1;1;1
Ma-Tutoia;0;0;0
Ma-Urbano Santos;0;0;0
Ma-Vargem Grande;1;0;0
Ma-Viana;0;0;2
Ma-Vila Nova dos Martirios;14;7;5
Ma-Vitoria do Mearim;4;5;4
Ma-Vitorino Freire;5;5;5
Ma-Ze Doca;9;11;9
Ma-Ignorado;0;0;0
Pi-Acaua;0;0;0
Pi-Agricolandia;0;0;0
Pi-Agua Branca;0;0;0
Pi-Alagoinha do Piaui;0;0;0
Pi-Alegrete do Piaui;0;0;0
Pi-Alto Longa;0;0;0
Pi-Altos;2;2;1
Pi-Alvorada do Gurgueia;0;0;0
Pi-Amarante;0;0;0
Pi-Angical do Piaui;1;1;1
Pi-Anisio de Abreu;0;0;0
Pi-Antonio Almeida;0;0;0
Pi-Aroazes;1;1;1
Pi-Aroeiras do Itaim;0;0;0
Pi-Arraial;0;0;0
Pi-Assuncao do Piaui;0;0;0
Pi-Avelino Lopes;0;0;0
Pi-Baixa Grande do Ribeiro;0;0;0
Pi-Barra D Alcantara;0;0;0
Pi-Barras;2;2;1
Pi-Barreiras do Piaui;1;2;1
Pi-Barro Duro;0;0;0
Pi-Batalha;0;0;0
Pi-Bela Vista do Piaui;0;0;0
Pi-Belem do Piaui;0;0;0
Pi-Beneditinos;0;1;1
Pi-Bertolinia;0;0;0
Pi-Betania do Piaui;0;0;0
Pi-Boa Hora;0;0;0
Pi-Bocaina;0;0;0
Pi-Bom Jesus;0;0;0
Pi-Bom Principio do Piaui;0;0;0
Pi-Bonfim do Piaui;0;0;0
Pi-Boqueirao do Piaui;0;0;0
Pi-Brasileira;0;0;0
Pi-Brejo do Piaui;0;0;0
Pi-Buriti dos Lopes;2;2;2
Pi-Buriti dos Montes;0;0;0
Pi-Cabeceiras do Piaui;0;0;0
Pi-Cajazeiras do Piaui;0;0;0
