Município;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006
Am-Canutama;0;0;0;0;0;0;0;0;0;0;0
Am-Carauari;0;0;0;0;0;0;0;0;0;0;0
Am-Careiro;0;0;0;0;0;0;0;0;0;0;0
Am-Careiro da Varzea;0;0;0;0;0;0;0;0;0;0;0
Am-Coari;0;0;0;0;0;0;0;0;0;0;0
Am-Codajas;0;0;0;0;0;0;0;0;0;0;0
Am-Eirunepe;0;0;0;0;0;0;0;0;0;0;0
Am-Envira;0;0;0;0;0;0;0;0;0;0;0
Am-Fonte Boa;0;0;0;0;0;0;0;0;0;0;0
Am-Guajara;5;2;4;5;6;5;6;6;0;0;0
Am-Humaita;0;7;0;0;0;0;0;0;1;1;2
Am-Ipixuna;0;0;0;0;0;0;0;0;0;0;0
Am-Iranduba;23;36;0;1;1;78;28;20;23;20;20
Am-Itacoatiara;31;34;37;35;42;47;49;43;48;43;49
Am-Itamarati;0;0;0;0;0;0;0;0;0;0;0
Am-Itapiranga;0;0;0;0;0;0;0;0;0;0;0
Am-Japura;0;0;0;0;0;0;0;0;0;0;0
Am-Jurua;0;0;0;0;0;0;0;0;0;0;0
Am-Jutai;0;0;0;0;0;0;0;0;0;0;0
Am-Labrea;12;11;0;0;0;0;0;0;0;0;0
Am-Manacapuru;48;37;39;26;34;9;11;0;0;0;0
Am-Manaquiri;0;0;0;0;0;0;0;0;0;0;0
Am-Manaus;75;178;170;172;151;137;23;224;221;226;314
Am-Manicore;0;0;0;0;0;0;0;0;0;0;0
Am-Maraa;0;0;0;0;0;0;0;0;0;0;0
Am-Maues;0;2;0;0;0;13;0;0;0;0;0
Am-Nhamunda;0;0;0;0;0;0;0;0;0;0;0
Am-Nova Olinda do Norte;0;0;0;0;0;0;0;0;0;0;0
Am-Novo Airao;0;0;0;0;0;0;0;0;0;0;0
Am-Novo Aripuana;0;0;0;0;0;0;0;0;0;0;0
Am-Parintins;5;0;0;0;0;33;28;30;30;32;0
Am-Pauini;0;0;0;0;0;0;0;0;0;0;0
Am-Presidente Figueiredo;0;0;0;0;0;0;0;0;0;0;0
Am-Rio Preto da Eva;0;0;0;0;0;0;0;0;0;0;0
Am-Santa Isabel do Rio Negro;0;0;0;0;0;0;0;0;0;0;0
Am-Santo Antonio do Ica;0;0;0;0;0;0;0;0;0;0;0
Am-Sao Gabriel da Cachoeira;0;0;0;0;0;0;0;0;0;0;0
Am-Sao Paulo de Olivenca;0;0;0;0;0;0;0;0;0;0;0
Am-Sao Sebastiao do Uatuma;0;0;0;0;0;0;0;0;0;0;0
Am-Silves;0;0;0;0;0;0;0;0;0;0;0
Am-Tabatinga;0;0;0;0;0;0;0;0;0;0;0
Am-Tapaua;0;0;0;0;0;0;0;0;0;0;0
Am-Tefe;6;8;12;4;0;0;0;0;0;0;0
Am-Tonantins;0;0;0;0;0;0;0;0;0;0;0
Am-Uarini;0;0;0;0;0;0;0;0;0;0;0
Am-Urucara;0;0;0;0;0;0;0;0;0;0;0
Am-Urucurituba;0;0;0;0;0;0;0;0;0;0;0
Am-Ignorado;0;0;0;0;0;0;0;0;0;0;0
Rr-Amajari;0;0;0;0;0;0;0;0;0;0;0
Rr-Alto Alegre;0;0;0;0;0;0;0;0;0;0;0
Rr-Boa Vista;339;293;379;435;394;178;165;95;5;16;179
Rr-Bonfim;0;0;0;0;0;0;0;0;0;0;0
Rr-Canta;48;44;40;37;21;24;20;7;24;0;0
Rr-Caracarai;12;0;0;0;0;0;0;0;0;0;0
Rr-Caroebe;0;0;0;0;0;0;0;0;0;0;0
Rr-Iracema;0;0;0;0;0;0;0;0;0;0;0
Rr-Mucajai;0;0;0;0;0;0;0;0;0;0;0
Rr-Normandia;0;0;0;0;0;0;0;0;0;0;0
Rr-Pacaraima;0;0;0;0;0;0;0;0;0;0;0
Rr-Rorainopolis;0;0;0;0;0;0;0;0;0;0;0
Rr-Sao Joao da Baliza;0;0;0;1;9;31;32;27;24;0;0
Rr-Sao Luiz;0;0;0;0;0;0;0;0;0;0;0
Rr-Uiramuta;0;0;0;0;0;0;0;0;0;0;0
Rr-Ignorado;0;0;0;0;0;0;0;0;0;0;0
Pa-Abaetetuba;0;8;9;33;0;0;0;0;0;0;0
