Município;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006
Pb-Salgadinho;0;0;0;0;0;0;0;0;0;0;0
Pb-Salgado de Sao Felix;0;0;0;0;0;0;0;0;0;0;0
Pb-Santa Cecilia;0;0;0;0;0;0;0;0;0;0;0
Pb-Santa Cruz;0;0;0;0;0;0;0;0;0;0;0
Pb-Santa Helena;0;0;0;0;0;0;0;0;0;0;0
Pb-Santa Ines;0;0;0;0;0;0;0;0;0;0;0
Pb-Santa Luzia;0;0;0;0;0;0;0;0;0;0;0
Pb-Santana de Mangueira;0;0;0;0;0;0;0;0;0;0;0
Pb-Santana dos Garrotes;0;0;0;0;0;0;0;0;0;0;0
Pb-Joca Claudino;0;0;0;0;0;0;0;0;0;0;0
Pb-Santa Rita;74;79;8;7;97;29;12;18;22;42;31
Pb-Santa Teresinha;0;0;0;0;0;0;0;0;0;0;0
Pb-Santo Andre;0;0;0;0;0;0;0;0;0;0;0
Pb-Sao Bento;0;0;0;0;0;1;1;1;0;0;0
Pb-Sao Bentinho;0;0;0;0;0;0;0;0;0;0;0
Pb-Sao Domingos do Cariri;0;0;0;0;0;0;0;0;0;0;0
Pb-Sao Domingos;0;0;0;0;0;0;0;0;0;0;0
Pb-Sao Francisco;0;0;0;0;0;0;0;0;0;0;0
Pb-Sao Joao do Cariri;0;0;0;0;0;0;0;0;0;0;0
Pb-Sao Joao do Tigre;0;0;0;0;0;0;0;0;0;0;0
Pb-Sao Jose da Lagoa Tapada;0;0;0;0;0;0;0;0;0;0;0
Pb-Sao Jose de Caiana;0;0;0;0;0;0;0;0;0;0;0
Pb-Sao Jose de Espinharas;0;0;0;0;0;0;0;0;0;0;0
Pb-Sao Jose dos Ramos;0;0;0;0;0;0;0;0;0;0;0
Pb-Sao Jose de Piranhas;0;0;0;0;0;0;0;0;0;0;0
Pb-Sao Jose de Princesa;0;0;0;0;0;0;0;0;0;0;0
Pb-Sao Jose do Bonfim;0;0;0;0;0;0;0;0;0;0;0
Pb-Sao Jose do Brejo do Cruz;0;0;0;0;0;0;0;0;0;0;0
Pb-Sao Jose do Sabugi;0;0;0;0;0;0;0;0;0;0;0
Pb-Sao Jose dos Cordeiros;0;0;0;0;0;0;0;0;0;0;0
Pb-Sao Mamede;0;0;0;0;0;0;0;0;0;0;0
Pb-Sao Miguel de Taipu;0;0;0;0;0;0;0;0;0;0;0
Pb-Sao Sebastiao de Lagoa de Roca;0;0;0;0;0;0;0;0;0;0;0
Pb-Sao Sebastiao do Umbuzeiro;0;0;0;0;0;0;0;0;0;0;0
Pb-Sape;1;0;0;0;0;0;0;0;0;0;0
Pb-Sao Vicente do Serido;0;0;0;0;0;0;0;0;0;0;0
Pb-Serra Branca;0;0;0;0;0;0;0;0;0;0;0
Pb-Serra da Raiz;0;0;0;0;0;0;0;0;0;0;0
Pb-Serra Grande;0;0;0;0;0;0;0;0;0;0;0
Pb-Serra Redonda;0;0;0;0;0;0;0;0;0;0;0
Pb-Serraria;0;0;0;0;0;0;0;0;0;0;0
Pb-Sertaozinho;0;0;0;0;0;0;0;0;0;0;0
Pb-Sobrado;0;0;0;0;0;0;0;0;0;0;0
Pb-Solanea;0;0;0;0;0;0;0;0;0;0;0
Pb-Soledade;0;0;0;0;0;0;0;0;0;0;0
Pb-Sossego;0;0;0;0;0;0;0;0;0;0;0
Pb-Sousa;0;0;0;0;0;0;0;1;0;9;24
Pb-Sume;0;0;0;0;0;0;0;0;0;0;0
Pb-Tacima;0;0;0;0;0;0;0;0;0;0;0
Pb-Taperoa;0;0;0;0;0;0;0;0;0;0;0
Pb-Tavares;0;0;0;0;0;0;0;0;0;0;0
Pb-Teixeira;0;0;0;0;0;0;0;0;0;0;0
Pb-Tenorio;0;0;0;0;0;0;0;0;0;0;0
Pb-Triunfo;0;0;0;0;0;0;0;0;0;0;0
Pb-Uirauna;0;0;0;0;0;0;0;0;0;0;0
Pb-Umbuzeiro;0;0;0;0;0;0;0;0;0;0;0
Pb-Varzea;0;0;0;0;0;0;0;0;0;0;0
Pb-Vieiropolis;0;0;0;0;0;0;0;0;0;0;0
Pb-Zabele;0;0;0;0;0;0;0;0;0;0;0
Pb-Ignorado;0;0;0;0;0;0;0;0;0;0;0
Pe-Abreu e Lima;0;0;0;0;0;0;0;0;0;0;0
Pe-Afogados da Ingazeira;39;83;49;53;73;80;120;185;268;277;262
Pe-Afranio;0;0;0;0;0;0;0;0;0;0;0
Pe-Agrestina;0;0;0;0;0;0;0;137;165;135;54
Pe-Agua Preta;0;0;0;0;0;0;0;0;0;0;0
Pe-Aguas Belas;0;0;0;0;0;0;0;0;0;0;0
Pe-Alagoinha;0;0;0;0;0;0;0;0;0;0;0
Pe-Alianca;0;0;0;0;0;0;0;0;0;0;0
Pe-Altinho;0;0;0;0;0;0;0;0;0;0;0
Pe-Amaraji;1;1;1;1;1;1;1;1;0;0;0
Pe-Angelim;0;0;0;0;0;0;0;0;0;0;0
Pe-Aracoiaba;0;0;0;0;0;0;0;0;0;0;0
Pe-Araripina;14;0;0;0;0;0;0;0;0;0;0
Pe-Arcoverde;0;0;0;0;0;0;0;0;0;1;0
Pe-Barra de Guabiraba;0;0;0;0;0;0;0;0;0;0;0
Pe-Barreiros;0;0;0;0;0;0;0;0;0;0;3
Pe-Belem de Maria;0;0;0;0;0;0;0;0;0;0;0
Pe-Belem de Sao Francisco;0;0;0;0;0;0;0;0;0;0;0
Pe-Belo Jardim;1010;844;898;853;915;905;857;899;730;765;652
Pe-Betania;0;0;0;0;0;0;0;0;0;0;0
Pe-Bezerros;7;0;1;14;8;0;0;0;0;15;0
Pe-Bodoco;0;0;0;0;0;0;0;0;0;0;0
Pe-Bom Conselho;0;0;0;0;0;0;0;0;9;0;0
Pe-Bom Jardim;0;0;0;0;0;0;0;0;0;0;0
Pe-Bonito;0;0;0;0;0;0;0;0;0;0;0
Pe-Brejao;0;0;0;0;0;0;0;0;0;0;0
Pe-Brejinho;0;0;0;0;0;0;0;0;0;0;0
Pe-Brejo da Madre de Deus;0;0;0;0;0;0;0;0;0;0;0
Pe-Buenos Aires;0;0;0;0;0;0;0;0;0;0;0
Pe-Buique;0;0;0;0;0;0;0;0;0;0;0
Pe-Cabo de Santo Agostinho;6;23;4;4;2;2;0;0;0;3;0
Pe-Cabrobo;0;0;0;0;0;0;0;0;0;0;0
Pe-Cachoeirinha;6;7;3;4;5;5;3;3;4;4;4
Pe-Caetes;0;0;0;0;0;0;0;0;0;0;0
Pe-Calcado;0;0;0;0;0;0;0;0;0;0;0
Pe-Calumbi;0;0;0;0;0;0;0;0;0;0;0
Pe-Camaragibe;0;0;0;0;0;1;5;2;2;3;4
Pe-Camocim de Sao Felix;0;0;0;0;0;0;0;0;0;0;0
Pe-Camutanga;0;0;0;0;0;0;0;0;0;0;0
Pe-Canhotinho;0;0;0;0;0;0;0;0;0;0;0
Pe-Capoeiras;0;0;0;0;0;0;0;0;0;0;0
Pe-Carnaiba;0;0;0;0;0;0;0;0;0;0;0
Pe-Carnaubeira da Penha;0;0;0;0;0;0;0;0;0;0;0
Pe-Carpina;44;43;73;94;2;72;71;51;46;45;0
Pe-Caruaru;7;10;5;6;1;0;6;10;13;4;0
Pe-Casinhas;0;1;3;0;0;0;0;0;0;0;0
Pe-Catende;0;0;0;0;0;0;0;0;0;0;0
Pe-Cedro;0;0;0;0;0;0;0;0;0;0;0
Pe-Cha de Alegria;0;0;0;0;0;0;0;0;0;0;0
Pe-Cha Grande;0;0;0;0;0;0;0;0;0;0;0
Pe-Condado;0;0;0;0;0;0;0;0;0;0;0
Pe-Correntes;0;0;0;0;0;0;0;0;0;0;0
Pe-Cortes;0;0;0;0;0;0;0;0;0;0;0
Pe-Cumaru;0;0;0;0;0;0;0;0;0;0;0
Pe-Cupira;0;0;0;0;0;0;0;0;0;0;0
Pe-Custodia;0;0;0;0;0;0;0;0;0;0;0
Pe-Dormentes;0;0;0;0;0;0;0;0;0;0;0
Pe-Escada;0;0;0;0;0;0;0;0;0;0;0
Pe-Exu;0;0;0;0;0;0;0;0;0;0;0
Pe-Feira Nova;0;0;1;1;0;0;0;0;0;0;0
Pe-Fernando de Noronha;0;0;0;0;0;0;0;0;0;0;0
Pe-Ferreiros;0;0;0;0;0;0;0;0;0;0;0
Pe-Flores;0;0;0;0;0;0;0;0;0;0;0
Pe-Floresta;0;2;3;9;51;0;30;32;31;0;0
Pe-Frei Miguelinho;0;0;0;0;0;0;0;0;0;0;0
Pe-Gameleira;0;0;0;0;0;0;0;0;0;0;1
Pe-Garanhuns;44;54;4;0;0;1;0;0;2;5;3
Pe-Gloria do Goita;0;0;0;0;0;0;0;0;0;0;0
Pe-Goiana;2;2;0;0;0;0;0;0;0;0;0
Pe-Granito;0;0;0;0;0;0;0;0;0;0;0
Pe-Gravata;0;0;0;0;0;0;0;0;0;0;0
Pe-Iati;0;0;0;0;0;0;0;0;0;0;0
Pe-Ibimirim;0;0;0;0;0;0;0;0;0;0;0
Pe-Ibirajuba;0;0;0;0;0;0;0;0;0;0;0
Pe-Igarassu;326;291;251;192;121;104;96;57;72;80;27
Pe-Iguaracy;0;0;0;0;0;0;0;0;0;0;0
Pe-Inaja;0;0;0;0;0;0;0;0;0;0;0
Pe-Ingazeira;0;0;0;0;0;0;0;0;0;0;0
Pe-Ipojuca;0;0;0;0;0;0;0;0;4;0;0
Pe-Ipubi;0;0;0;0;0;0;0;0;0;0;0
Pe-Itacuruba;0;0;0;0;0;0;0;0;0;0;0
Pe-Itaiba;0;0;0;0;0;0;0;0;0;0;0
Pe-Ilha de Itamaraca;0;0;0;0;0;0;0;0;0;0;0
Pe-Itambe;2;4;0;0;0;0;0;0;0;0;0
Pe-Itapetim;4;4;6;4;0;0;0;0;0;0;0
Pe-Itapissuma;104;82;85;86;79;69;7;5;5;0;0
Pe-Itaquitinga;0;0;0;0;0;0;0;0;0;0;0
Pe-Jaboatao dos Guararapes;42;15;14;10;7;11;12;6;9;8;8
Pe-Jaqueira;0;0;0;0;0;0;0;0;0;0;0
Pe-Jatauba;0;0;0;0;0;0;0;0;0;0;0
Pe-Jatoba;0;0;0;0;0;0;0;0;0;0;0
Pe-Joao Alfredo;0;0;0;0;0;0;0;0;0;0;0
Pe-Joaquim Nabuco;3;3;3;0;3;3;0;0;0;0;1
Pe-Jucati;0;0;0;0;0;0;0;0;0;0;0
Pe-Jupi;0;0;0;0;0;0;0;0;0;0;0
Pe-Jurema;0;0;0;0;0;0;0;0;0;0;0
Pe-Lagoa do Carro;0;0;0;0;0;0;0;0;0;0;0
Pe-Lagoa do Itaenga;0;0;0;0;0;0;0;0;0;0;0
Pe-Lagoa do Ouro;0;0;0;0;0;0;0;0;0;0;0
Pe-Lagoa dos Gatos;0;0;0;0;0;0;0;0;0;0;0
Pe-Lagoa Grande;0;0;0;0;0;0;0;0;0;0;0
Pe-Lajedo;3;3;4;0;0;0;0;0;0;0;0
Pe-Limoeiro;0;0;0;0;0;0;0;0;0;0;0
Pe-Macaparana;1;0;1;0;1;0;0;0;0;0;0
Pe-Machados;65;0;0;0;0;0;0;0;0;0;0
Pe-Manari;0;0;0;0;0;0;0;0;0;0;0
Pe-Maraial;0;0;0;0;0;0;0;0;0;0;0
Pe-Mirandiba;0;0;0;0;0;0;0;0;0;0;0
Pe-Moreno;1;1;0;0;0;0;0;0;0;0;2
Pe-Nazare da Mata;933;1036;944;810;679;698;664;619;519;573;467
Pe-Olinda;87;86;58;56;59;54;65;70;72;57;91
Pe-Orobo;0;0;0;0;0;0;0;0;0;0;0
Pe-Oroco;0;0;0;0;0;0;0;0;0;0;0
Pe-Ouricuri;0;0;0;0;0;0;0;0;0;0;0
Pe-Palmares;0;0;1;3;0;1;0;1;1;0;0
Pe-Palmeirina;0;0;0;0;0;0;0;0;0;0;0
Pe-Panelas;0;0;0;0;0;0;0;0;0;0;0
Pe-Paranatama;0;0;0;0;0;0;0;0;0;0;0
Pe-Parnamirim;14;16;0;0;15;12;0;0;0;0;0
Pe-Passira;0;0;0;0;0;0;0;0;0;0;0
Pe-Paudalho;4;0;0;0;0;0;0;0;0;0;0
Pe-Paulista;386;404;367;286;270;276;221;175;163;122;295
Pe-Pedra;0;0;0;0;0;0;0;0;0;0;0
Pe-Pesqueira;17;156;90;60;11;17;2;0;0;0;0
Pe-Petrolandia;0;0;0;0;0;0;0;0;0;0;0
Pe-Petrolina;5;7;3;3;2;2;0;1;3;0;0
Pe-Pocao;0;0;0;0;0;0;0;0;0;0;0
Pe-Pombos;0;0;0;0;0;0;0;0;0;0;0
Pe-Primavera;0;0;0;0;0;0;0;0;0;0;0
Pe-Quipapa;0;0;0;0;0;0;0;0;0;0;0
Pe-Quixaba;0;0;0;0;0;0;0;0;0;0;0
Pe-Recife;97;104;186;163;104;112;1170;1218;1119;998;965
Pe-Riacho das Almas;0;0;0;0;0;0;0;0;0;0;0
Pe-Ribeirao;5;3;3;0;0;0;0;0;0;1;0
Pe-Rio Formoso;0;0;0;0;0;0;0;0;0;0;0
Pe-Saire;0;0;0;0;0;0;0;0;0;0;0
Pe-Salgadinho;0;0;0;0;0;0;0;0;0;0;0
Pe-Salgueiro;0;0;0;3;3;3;3;1;1;2;2
Pe-Saloa;0;0;0;0;0;0;0;0;0;0;0
Pe-Sanharo;0;0;0;0;0;0;0;0;0;0;0
Pe-Santa Cruz;0;0;0;0;0;0;0;0;0;0;0
Pe-Santa Cruz da Baixa Verde;0;0;0;0;0;0;0;0;0;0;0
Pe-Santa Cruz do Capibaribe;3;3;3;3;2;3;2;0;0;0;0
Pe-Santa Filomena;0;0;0;0;0;0;0;0;0;0;0
Pe-Santa Maria da Boa Vista;0;0;0;0;0;0;0;0;0;0;0
Pe-Santa Maria do Cambuca;0;0;0;0;0;0;0;0;0;0;0
Pe-Santa Terezinha;0;0;0;0;0;0;0;0;0;0;0
Pe-Sao Benedito do Sul;0;1;1;1;0;2;3;2;0;0;0
Pe-Sao Bento do Una;0;0;0;0;0;0;0;0;0;0;0
Pe-Sao Caitano;1;1;0;0;0;0;0;0;0;0;0
Pe-Sao Joao;0;0;0;0;0;0;0;0;0;0;0
Pe-Sao Joaquim do Monte;0;0;0;0;0;0;0;0;0;0;0
Pe-Sao Jose da Coroa Grande;0;0;0;0;0;0;0;0;0;0;0
Pe-Sao Jose do Belmonte;0;0;0;0;0;0;0;0;0;0;0
Pe-Sao Jose do Egito;0;0;0;0;0;0;0;0;0;0;0
Pe-Sao Lourenco da Mata;24;62;28;23;43;50;32;40;0;0;0
Pe-Sao Vicente Ferrer;0;0;0;0;0;0;0;0;0;0;0
Pe-Serra Talhada;4;3;4;2;4;2;2;13;4;4;0
Pe-Serrita;0;0;0;0;0;0;0;0;0;0;0
Pe-Sertania;0;0;0;0;0;0;0;0;0;0;0
Pe-Sirinhaem;0;0;0;0;0;0;0;0;0;0;0
Pe-Moreilandia;0;0;0;0;0;0;0;0;0;0;0
Pe-Solidao;0;0;0;0;0;0;0;0;0;0;0
Pe-Surubim;18;18;0;16;0;0;0;0;0;0;0
Pe-Tabira;0;0;0;0;0;0;0;0;0;0;0
Pe-Tacaimbo;0;0;0;0;0;0;0;0;0;0;0
Pe-Tacaratu;0;0;0;0;0;0;0;0;0;0;0
Pe-Tamandare;0;0;0;0;0;0;0;0;0;0;0
Pe-Taquaritinga do Norte;0;0;0;0;0;0;0;0;0;0;0
Pe-Terezinha;0;0;0;0;0;0;0;0;0;0;0
Pe-Terra Nova;0;0;0;0;0;0;0;0;0;0;0
Pe-Timbauba;7;9;0;0;0;0;0;0;0;0;0
Pe-Toritama;0;0;0;0;0;0;0;2;0;0;0
Pe-Tracunhaem;0;0;0;0;0;0;0;0;0;0;0
Pe-Trindade;0;0;0;0;0;0;0;0;0;0;0
Pe-Triunfo;0;0;0;0;0;0;0;0;0;0;0
Pe-Tupanatinga;0;0;0;0;0;0;0;0;0;0;0
Pe-Tuparetama;0;0;0;0;0;0;0;0;0;0;0
Pe-Venturosa;0;0;0;0;0;0;0;0;0;0;0
Pe-Verdejante;0;0;0;0;0;0;0;0;0;0;0
Pe-Vertente do Lerio;0;0;0;0;0;0;0;0;0;0;0
Pe-Vertentes;0;0;0;0;0;0;0;0;0;0;0
Pe-Vicencia;0;0;0;0;0;0;0;0;0;0;0
Pe-Vitoria de Santo Antao;1063;1138;1631;1607;0;1177;793;566;66;0;0
Pe-Xexeu;0;0;0;0;8;0;0;0;0;0;0
Pe-Ignorado;0;0;0;0;0;0;0;0;0;0;0
Al-Agua Branca;0;0;0;0;0;0;0;0;0;0;0
Al-Anadia;0;0;0;0;0;0;0;0;0;0;0
Al-Arapiraca;198;81;5;0;3;0;0;0;0;0;0
Al-Atalaia;0;4;0;0;0;0;0;0;0;0;0
Al-Barra de Santo Antonio;0;0;0;0;0;0;0;0;0;0;0
Al-Barra de Sao Miguel;0;0;0;0;0;0;0;0;0;0;0
Al-Batalha;0;0;0;0;0;0;0;0;0;0;0
Al-Belem;0;0;0;0;0;0;0;0;0;0;0
Al-Belo Monte;0;0;0;0;0;0;0;0;0;0;0
Al-Boca da Mata;0;0;0;0;0;0;0;0;0;0;0
Al-Branquinha;0;0;0;0;0;0;0;0;0;0;0
Al-Cacimbinhas;0;0;0;0;0;0;0;0;0;0;0
Al-Cajueiro;0;0;0;0;0;0;0;0;0;0;0
Al-Campestre;0;0;0;0;0;0;0;0;0;0;0
Al-Campo Alegre;0;0;0;0;0;0;0;0;0;0;0
Al-Campo Grande;0;0;0;0;0;0;0;0;0;0;0
Al-Canapi;0;0;0;0;0;0;0;0;0;0;0
Al-Capela;0;0;0;0;0;0;0;0;0;0;0
Al-Carneiros;0;0;0;0;0;0;0;0;0;0;0
Al-Cha Preta;1;1;1;1;0;0;0;0;0;0;0
Al-Coite do Noia;0;0;0;0;0;0;0;0;0;0;0
Al-Colonia Leopoldina;0;0;0;0;0;0;0;0;0;0;0
Al-Coqueiro Seco;0;0;0;0;0;0;0;0;0;0;0
Al-Coruripe;0;0;0;0;0;0;0;0;0;0;14
Al-Craibas;0;0;0;0;0;0;0;0;0;0;0
Al-Delmiro Gouveia;0;0;0;0;0;0;0;0;0;0;0
Al-Dois Riachos;0;0;0;0;0;0;0;0;0;0;0
Al-Estrela de Alagoas;0;0;0;0;0;0;0;0;0;0;0
Al-Feira Grande;0;0;0;0;0;0;0;0;0;0;0
Al-Feliz Deserto;0;0;0;0;0;0;0;0;0;0;0
Al-Flexeiras;8;7;6;8;5;8;14;3;3;2;0
Al-Girau do Ponciano;2;3;4;3;0;4;4;3;0;0;0
Al-Ibateguara;0;0;0;0;0;0;0;0;0;0;0
Al-Igaci;0;0;0;0;0;0;0;0;0;0;0
Al-Igreja Nova;0;0;0;0;0;0;0;0;0;0;0
Al-Inhapi;0;0;0;0;0;0;0;0;0;0;0
Al-Jacare dos Homens;0;0;0;0;0;0;0;0;0;0;0
Al-Jacuipe;0;0;0;0;0;0;0;0;0;0;0
Al-Japaratinga;0;0;0;0;0;0;0;0;0;0;0
Al-Jaramataia;0;0;0;0;0;0;0;0;0;0;0
Al-Jequia da Praia;0;0;0;0;0;0;0;0;0;0;0
Al-Joaquim Gomes;0;0;0;0;0;0;0;0;0;0;1
Al-Jundia;0;0;0;0;0;0;0;0;0;0;0
Al-Junqueiro;0;0;0;0;0;0;0;0;1;0;0
Al-Lagoa da Canoa;0;0;0;0;0;0;0;0;0;0;0
Al-Limoeiro de Anadia;0;0;0;0;0;0;0;0;0;0;0
Al-Maceio;12;19;25;19;9;24;28;31;60;32;55
Al-Major Isidoro;0;0;0;0;0;0;0;0;0;0;0
Al-Maragogi;0;0;0;0;0;0;0;0;0;0;0
Al-Maravilha;0;0;0;0;0;0;0;0;0;0;0
Al-Marechal Deodoro;0;0;0;0;0;0;0;0;0;0;0
Al-Maribondo;0;0;0;0;0;0;0;0;0;0;0
Al-Mar Vermelho;0;0;0;0;0;0;0;0;0;0;0
Al-Mata Grande;0;0;0;0;0;0;0;0;0;0;0
Al-Matriz de Camaragibe;0;0;0;0;0;0;0;0;0;0;0
Al-Messias;2;2;0;0;2;2;2;2;0;0;0
Al-Minador do Negrao;0;0;0;0;0;0;0;0;0;0;0
Al-Monteiropolis;0;0;0;0;0;0;0;0;0;0;0
Al-Murici;0;1;0;0;17;0;0;12;0;0;0
Al-Novo Lino;0;0;0;0;0;0;0;0;0;0;0
Al-Olho D Agua das Flores;0;0;0;0;0;0;0;0;0;0;0
Al-Olho D Agua do Casado;0;0;0;0;0;0;0;0;0;0;0
Al-Olho D Agua Grande;0;0;0;0;0;0;0;0;0;0;0
Al-Olivenca;0;0;0;0;0;0;0;0;0;0;0
Al-Ouro Branco;0;0;0;0;0;0;0;0;0;0;0
Al-Palestina;0;0;0;0;0;0;0;0;0;0;0
Al-Palmeira dos Indios;0;0;0;0;0;0;0;0;0;0;0
Al-Pao de Acucar;0;0;0;0;0;0;0;0;0;0;0
Al-Pariconha;0;0;0;0;0;0;0;0;0;0;0
Al-Paripueira;0;0;0;0;0;0;0;0;0;0;0
Al-Passo de Camaragibe;0;0;0;0;0;0;0;0;0;0;0
Al-Paulo Jacinto;0;0;0;0;0;0;0;0;0;0;0
Al-Penedo;1;2;2;0;1;1;2;0;0;0;0
Al-Piacabucu;0;0;0;0;0;0;0;0;0;0;0
Al-Pilar;0;0;0;2;0;0;0;0;0;0;5
Al-Pindoba;0;0;0;0;0;0;0;0;0;0;0
Al-Piranhas;0;0;0;0;0;0;0;0;0;0;0
Al-Poco das Trincheiras;0;0;0;0;0;0;0;0;0;0;0
Al-Porto Calvo;0;0;0;0;0;0;0;0;0;0;0
Al-Porto de Pedras;0;0;0;0;0;0;0;0;0;0;0
Al-Porto Real do Colegio;0;0;0;0;0;0;0;0;0;0;0
Al-Quebrangulo;0;0;0;0;0;0;0;0;0;0;0
Al-Rio Largo;128;118;105;98;96;97;93;97;88;87;70
Al-Roteiro;0;0;0;0;0;0;0;0;0;0;0
Al-Santa Luzia do Norte;90;69;19;4;0;0;0;2;16;38;1
Al-Santana do Ipanema;5;6;6;4;3;5;6;5;2;4;2
Al-Santana do Mundau;0;0;0;0;0;0;0;0;0;0;0
Al-Sao Bras;0;0;0;0;0;0;0;0;0;0;0
Al-Sao Jose da Laje;0;0;0;0;0;0;0;0;0;0;0
Al-Sao Jose da Tapera;0;0;0;0;0;0;0;0;0;0;0
Al-Sao Luis do Quitunde;8;6;6;6;9;0;0;0;0;0;0
Al-Sao Miguel dos Campos;2;2;2;2;3;2;2;2;2;2;2
Al-Sao Miguel dos Milagres;0;0;0;0;0;0;0;0;0;0;0
Al-Sao Sebastiao;0;0;0;0;0;0;0;0;0;0;0
Al-Satuba;102;116;120;119;120;109;99;119;103;99;94
Al-Senador Rui Palmeira;0;0;0;0;0;0;0;0;0;0;0
Al-Tanque D Arca;0;0;0;0;0;0;0;0;0;0;0
Al-Taquarana;0;0;0;0;0;0;0;0;0;0;0
Al-Teotonio Vilela;0;0;0;0;0;0;0;0;0;0;0
Al-Traipu;0;0;0;0;0;0;0;0;0;0;0
Al-Uniao dos Palmares;1;2;11;11;8;6;8;4;1;2;2
Al-Vicosa;0;0;0;0;0;0;0;0;0;0;0
Al-Ignorado;0;0;0;0;0;0;0;0;0;0;0
Se-Amparo de Sao Francisco;0;0;0;0;0;0;0;0;0;0;0
Se-Aquidaba;0;0;0;1;0;0;0;0;0;0;0
Se-Aracaju;101;95;80;21;29;26;24;29;40;25;55
Se-Araua;0;0;0;0;0;0;0;0;0;0;0
Se-Areia Branca;0;0;0;0;0;0;0;0;0;0;0
Se-Barra dos Coqueiros;0;0;0;0;0;0;0;0;0;0;0
Se-Boquim;0;4;5;4;6;8;9;10;11;8;0
Se-Brejo Grande;0;0;0;0;0;0;0;0;0;0;0
Se-Campo do Brito;0;0;0;0;0;0;0;0;0;0;0
Se-Canhoba;0;0;0;0;0;0;0;0;0;0;0
Se-Caninde de Sao Francisco;0;0;0;0;0;0;0;0;0;0;0
Se-Capela;0;0;0;0;0;0;0;0;0;0;0
Se-Carira;0;0;0;0;0;0;0;0;0;0;0
Se-Carmopolis;1;1;1;0;0;0;0;0;0;0;0
Se-Cedro de Sao Joao;0;0;0;0;0;0;0;0;0;0;0
Se-Cristinapolis;0;0;0;0;0;0;0;0;0;0;0
Se-Cumbe;0;0;0;0;0;0;0;0;0;0;0
Se-Divina Pastora;0;0;0;0;0;0;0;0;0;0;0
Se-Estancia;2;0;0;0;0;0;0;0;0;1;1
Se-Feira Nova;0;0;0;0;0;0;0;0;0;0;0
Se-Frei Paulo;0;0;0;0;0;0;0;0;0;0;0
Se-Gararu;0;0;0;0;0;0;0;0;0;0;0
Se-General Maynard;0;0;0;0;0;0;0;0;0;0;0
Se-Gracho Cardoso;0;0;0;0;0;0;0;0;0;0;0
Se-Ilha das Flores;0;0;0;0;0;0;0;0;0;0;0
Se-Indiaroba;0;0;0;0;0;0;0;0;0;0;0
Se-Itabaiana;23;26;0;0;0;0;0;0;0;0;0
Se-Itabaianinha;0;0;0;0;0;0;0;0;0;0;0
Se-Itabi;0;0;0;0;0;0;0;0;0;0;0
Se-Itaporanga D Ajuda;2;1;1;1;1;0;0;0;0;0;0
Se-Japaratuba;0;0;0;0;0;0;0;0;0;0;0
Se-Japoata;0;0;0;0;0;0;0;0;0;0;0
Se-Lagarto;36;18;11;2;4;3;6;4;6;2;2
Se-Laranjeiras;0;0;0;0;0;3;0;0;0;0;0
Se-Macambira;0;0;0;0;0;0;0;0;0;0;0
Se-Malhada dos Bois;0;0;0;0;0;0;0;0;0;0;0
Se-Malhador;0;0;0;0;0;0;0;0;0;0;0
Se-Maruim;0;0;0;0;0;0;0;0;0;0;0
Se-Moita Bonita;0;0;0;0;0;0;0;0;0;0;0
Se-Monte Alegre de Sergipe;0;0;0;0;0;0;0;0;0;0;0
Se-Muribeca;0;0;0;0;0;0;0;0;0;0;0
Se-Neopolis;0;0;0;0;0;0;0;0;0;0;0
Se-Nossa Senhora Aparecida;0;0;0;0;0;0;0;0;0;0;0
Se-Nossa Senhora da Gloria;0;0;0;0;0;0;0;0;0;0;0
Se-Nossa Senhora das Dores;0;0;0;0;0;0;0;0;0;0;0
Se-Nossa Senhora de Lourdes;0;0;0;0;0;0;0;0;0;0;0
Se-Nossa Senhora do Socorro;1;1;1;3;6;0;0;0;0;0;0
Se-Pacatuba;0;0;0;0;0;0;0;0;0;0;0
Se-Pedra Mole;0;0;0;0;0;0;0;0;0;0;0
Se-Pedrinhas;0;0;0;0;0;0;0;0;0;0;0
Se-Pinhao;0;0;0;0;0;0;0;0;0;0;0
Se-Pirambu;0;0;0;0;0;0;0;0;0;0;0
Se-Poco Redondo;0;0;0;0;0;0;0;0;0;0;0
Se-Poco Verde;0;0;0;0;0;0;0;0;0;0;0
Se-Porto da Folha;0;0;0;0;0;0;0;0;0;0;0
Se-Propria;233;105;249;279;253;236;236;262;281;179;112
Se-Riachao do Dantas;0;0;0;0;0;8;7;11;0;0;0
Se-Riachuelo;0;0;0;0;0;0;0;0;0;0;0
Se-Ribeiropolis;0;0;0;0;0;0;0;0;0;0;0
Se-Rosario do Catete;0;0;0;0;0;0;0;0;0;0;0
Se-Salgado;0;0;0;0;0;1;1;1;0;0;0
Se-Santa Luzia do Itanhy;0;0;0;0;0;0;0;0;0;0;0
Se-Santana do Sao Francisco;0;0;0;0;0;0;0;0;0;0;0
Se-Santa Rosa de Lima;0;0;0;0;0;0;0;0;0;0;0
Se-Santo Amaro das Brotas;0;0;0;0;0;0;0;0;0;0;0
Se-Sao Cristovao;51;38;0;0;20;36;92;120;142;151;137
Se-Sao Domingos;0;0;0;0;0;0;0;0;0;0;0
Se-Sao Francisco;0;0;0;0;0;0;0;0;0;0;0
