Município;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006
Am-Carauari;0;0;0;0;0;0;0;0;0;0;0
Am-Careiro;0;0;0;0;0;0;0;0;0;0;0
Am-Careiro da Varzea;0;0;0;0;0;0;0;0;0;0;0
Am-Coari;0;0;0;0;0;0;0;0;0;0;0
Am-Codajas;0;0;0;0;0;0;0;0;0;0;0
Am-Eirunepe;0;0;0;0;0;0;0;0;0;0;0
Am-Envira;0;0;0;0;0;0;0;0;0;0;0
Am-Fonte Boa;0;0;0;0;0;0;0;0;0;0;0
Am-Guajara;1;1;1;1;1;1;1;1;0;0;0
Am-Humaita;0;1;0;0;0;0;0;0;1;1;1
Am-Ipixuna;0;0;0;0;0;0;0;0;0;0;0
Am-Iranduba;1;1;1;1;1;2;1;1;1;1;1
Am-Itacoatiara;2;2;2;2;2;2;2;3;3;2;2
Am-Itamarati;0;0;0;0;0;0;0;0;0;0;0
Am-Itapiranga;0;0;0;0;0;0;0;0;0;0;0
Am-Japura;0;0;0;0;0;0;0;0;0;0;0
Am-Jurua;0;0;0;0;0;0;0;0;0;0;0
Am-Jutai;0;0;0;0;0;0;0;0;0;0;0
Am-Labrea;1;1;0;0;0;0;0;0;0;0;0
Am-Manacapuru;1;1;1;1;1;1;1;0;0;0;0
Am-Manaquiri;0;0;0;0;0;0;0;0;0;0;0
Am-Manaus;8;7;6;7;8;6;6;6;6;7;11
Am-Manicore;0;0;0;0;0;0;0;0;0;0;0
Am-Maraa;0;0;0;0;0;0;0;0;0;0;0
Am-Maues;1;1;0;0;1;1;0;0;0;0;0
Am-Nhamunda;0;0;0;0;0;0;0;0;0;0;0
Am-Nova Olinda do Norte;0;0;0;0;0;0;0;0;0;0;0
Am-Novo Airao;0;0;0;0;0;0;0;0;0;0;0
Am-Novo Aripuana;0;0;0;0;0;0;0;0;0;0;0
Am-Parintins;2;0;0;0;1;1;1;1;1;3;0
Am-Pauini;0;0;0;0;0;0;0;0;0;0;0
Am-Presidente Figueiredo;0;0;0;0;0;0;0;0;0;0;0
Am-Rio Preto da Eva;0;0;0;0;0;0;0;0;0;0;0
Am-Santa Isabel do Rio Negro;0;0;0;0;0;0;0;0;0;0;0
Am-Santo Antonio do Ica;0;0;0;0;0;0;0;0;0;0;0
Am-Sao Gabriel da Cachoeira;0;0;0;0;0;0;0;0;0;0;0
Am-Sao Paulo de Olivenca;0;0;0;0;0;0;0;0;0;0;0
Am-Sao Sebastiao do Uatuma;0;0;0;0;0;0;0;0;0;0;0
Am-Silves;0;0;0;0;0;0;0;0;0;0;0
Am-Tabatinga;0;0;0;0;0;0;0;0;0;0;0
Am-Tapaua;0;0;0;0;0;0;0;0;0;0;0
Am-Tefe;2;2;2;1;0;0;0;0;0;0;0
Am-Tonantins;0;0;0;0;0;0;0;0;0;0;0
Am-Uarini;0;0;0;0;0;0;0;0;0;0;0
Am-Urucara;0;0;0;0;0;0;0;0;0;0;0
Am-Urucurituba;0;0;0;0;0;0;0;0;0;0;0
Am-Ignorado;0;0;0;0;0;0;0;0;0;0;0
Rr-Amajari;0;0;0;0;0;0;0;0;0;0;0
Rr-Alto Alegre;0;0;0;0;0;0;0;0;0;0;0
Rr-Boa Vista;5;4;3;4;4;1;3;2;1;3;3
Rr-Bonfim;0;0;0;0;0;0;0;0;0;0;0
Rr-Canta;1;1;1;1;1;1;1;1;1;0;0
Rr-Caracarai;1;0;0;0;0;0;0;0;0;0;0
Rr-Caroebe;0;0;0;0;0;0;0;0;0;0;0
Rr-Iracema;0;0;0;0;0;0;0;0;0;0;0
Rr-Mucajai;0;0;0;0;0;0;0;0;0;0;0
Rr-Normandia;0;0;0;0;0;0;0;0;0;0;0
Rr-Pacaraima;0;0;0;0;0;0;0;0;0;0;0
Rr-Rorainopolis;0;0;0;0;0;0;0;0;0;0;0
Rr-Sao Joao da Baliza;0;0;0;1;1;1;1;1;1;0;0
Rr-Sao Luiz;0;0;0;0;0;0;0;0;0;0;0
Rr-Uiramuta;0;0;0;0;0;0;0;0;0;0;0
Rr-Ignorado;0;0;0;0;0;0;0;0;0;0;0
Pa-Abaetetuba;0;1;1;1;0;0;0;0;0;0;0
Pa-Abel Figueiredo;0;0;0;0;0;0;0;0;0;0;0
Pa-Acara;1;1;0;1;0;0;0;0;0;0;0
Pa-Afua;0;0;0;0;0;0;0;0;0;0;0
Pa-Agua Azul do Norte;1;2;2;2;2;3;3;2;2;2;2
Pa-Alenquer;0;0;0;0;1;1;0;0;0;0;0
Pa-Almeirim;0;0;0;0;0;0;0;0;0;0;0
Pa-Altamira;3;3;4;3;5;2;3;2;3;2;2
Pa-Anajas;0;0;0;0;0;0;0;0;0;0;0
Pa-Ananindeua;4;3;4;5;5;6;1;3;5;2;2
Pa-Anapu;0;0;0;0;0;0;0;0;0;0;0
Pa-Augusto Correa;0;0;0;0;0;0;0;0;0;0;0
Pa-Aurora do Para;0;0;0;0;0;0;0;0;0;0;0
Pa-Aveiro;0;0;0;0;0;0;0;0;0;0;0
Pa-Bagre;0;0;0;0;0;0;0;0;0;0;0
Pa-Baiao;0;0;0;0;0;0;0;0;0;0;0
Pa-Bannach;0;0;0;0;0;0;0;1;1;1;1
Pa-Barcarena;0;0;0;0;1;0;0;0;0;0;0
Pa-Belem;3;4;1;1;1;4;4;6;6;5;6
Pa-Belterra;0;0;0;0;0;0;0;0;0;0;0
Pa-Benevides;2;2;2;2;3;1;2;1;1;1;1
Pa-Bom Jesus do Tocantins;0;0;0;0;0;0;0;0;0;0;0
Pa-Bonito;0;0;0;0;0;0;0;0;0;0;0
Pa-Braganca;2;2;1;1;2;1;1;1;0;0;0
Pa-Brasil Novo;1;1;0;0;0;0;0;0;0;0;0
Pa-Brejo Grande do Araguaia;0;0;0;0;0;0;0;0;0;0;0
Pa-Breu Branco;1;1;1;1;1;1;0;0;0;0;0
Pa-Breves;1;1;1;1;1;1;1;1;1;1;1
Pa-Bujaru;0;0;0;0;0;0;0;0;0;0;0
Pa-Cachoeira do Piria;0;0;0;0;0;0;0;0;0;0;0
Pa-Cachoeira do Arari;0;0;0;0;0;0;0;0;0;0;0
Pa-Cameta;1;1;0;0;0;0;0;0;0;0;0
Pa-Canaa dos Carajas;2;2;3;3;2;1;1;1;1;0;0
Pa-Capanema;0;1;1;0;1;1;1;1;1;2;1
Pa-Capitao Poco;1;1;1;0;0;0;0;0;0;0;0
Pa-Castanhal;10;9;9;8;6;8;8;8;8;9;9
Pa-Chaves;0;0;0;0;0;0;0;0;0;0;0
Pa-Colares;0;0;0;0;0;0;0;0;0;0;0
Pa-Conceicao do Araguaia;1;1;1;1;1;2;1;2;2;1;1
Pa-Concordia do Para;0;0;0;0;0;0;0;0;0;0;0
Pa-Cumaru do Norte;0;0;0;0;0;0;0;0;0;0;0
Pa-Curionopolis;0;0;0;0;0;0;0;0;0;0;0
Pa-Curralinho;0;0;0;0;0;0;0;0;0;0;0
Pa-Curua;0;0;0;0;0;0;0;0;0;0;0
Pa-Curuca;0;0;0;0;0;0;0;0;0;0;0
Pa-Dom Eliseu;0;0;0;0;0;0;0;0;0;0;0
Pa-Eldorado do Carajas;1;1;2;2;2;0;0;0;0;0;0
Pa-Faro;0;0;0;0;0;0;0;0;0;0;0
Pa-Floresta do Araguaia;1;0;0;0;0;0;0;0;0;0;0
Pa-Garrafao do Norte;0;0;0;0;0;0;0;0;0;0;0
Pa-Goianesia do Para;0;1;1;1;1;1;1;0;0;0;0
Pa-Gurupa;0;0;0;0;0;0;0;0;0;0;0
Pa-Igarape-Acu;0;0;0;0;0;0;0;0;0;0;0
Pa-Igarape-Miri;0;0;0;0;0;0;0;0;0;0;0
Pa-Inhangapi;0;0;0;0;0;0;0;0;0;0;0
Pa-Ipixuna do Para;0;0;0;0;0;0;0;0;0;0;0
Pa-Irituia;0;0;0;0;0;0;0;0;0;0;0
Pa-Itaituba;2;1;2;3;2;2;1;0;0;0;0
Pa-Itupiranga;1;1;1;1;1;0;0;0;0;0;0
Pa-Jacareacanga;0;0;0;0;0;0;0;0;0;0;0
Pa-Jacunda;1;2;2;3;1;0;0;0;0;0;0
Pa-Juruti;0;0;0;0;0;0;0;0;0;0;0
Pa-Limoeiro do Ajuru;0;0;0;0;0;0;0;0;0;0;0
Pa-Mae do Rio;1;2;2;2;2;2;3;3;4;1;1
Pa-Magalhaes Barata;0;0;0;0;0;0;0;0;0;0;0
Pa-Maraba;8;7;7;5;6;6;7;5;5;7;6
Pa-Maracana;0;0;0;0;0;0;0;0;0;0;0
Pa-Marapanim;0;0;0;0;0;0;0;0;0;0;0
Pa-Marituba;0;0;0;0;0;0;0;0;0;0;0
Pa-Medicilandia;0;0;0;0;0;0;0;0;0;0;0
Pa-Melgaco;0;0;0;0;0;0;0;0;0;0;0
Pa-Mocajuba;0;0;0;0;0;0;0;0;0;0;0
Pa-Moju;0;0;0;0;0;0;0;0;0;0;0
Pa-Mojui dos Campos;0;0;0;0;0;0;0;0;0;0;0
Pa-Monte Alegre;1;0;0;1;1;0;0;0;0;0;0
Pa-Muana;0;0;0;0;0;0;0;0;0;0;0
Pa-Nova Esperanca do Piria;0;0;0;0;0;0;0;0;0;0;0
Pa-Nova Ipixuna;0;1;0;0;0;0;0;0;0;0;0
Pa-Nova Timboteua;0;0;0;0;0;0;0;0;0;0;0
Pa-Novo Progresso;5;3;3;2;2;1;1;1;0;0;0
Pa-Novo Repartimento;0;0;0;0;0;0;0;0;0;1;0
Pa-Obidos;0;0;0;0;0;0;0;0;0;0;0
Pa-Oeiras do Para;0;0;0;0;0;0;0;0;0;0;0
Pa-Oriximina;0;0;0;0;0;0;0;0;0;0;0
Pa-Ourem;0;0;0;0;0;0;0;0;0;0;0
Pa-Ourilandia do Norte;0;0;0;0;0;0;0;0;0;1;0
Pa-Pacaja;0;0;0;0;0;0;0;0;0;0;0
Pa-Palestina do Para;0;0;0;0;0;0;0;0;0;0;0
Pa-Paragominas;3;3;3;3;2;0;1;3;4;3;2
Pa-Parauapebas;2;2;2;1;2;3;3;3;3;3;4
Pa-Pau D Arco;0;0;0;0;0;0;0;0;0;0;0
Pa-Peixe-Boi;0;0;0;0;0;0;0;0;0;0;0
Pa-Picarra;0;0;0;0;0;0;0;0;0;0;0
Pa-Placas;0;0;0;0;0;0;0;0;0;0;0
Pa-Ponta de Pedras;0;0;0;0;0;0;0;0;0;0;0
Pa-Portel;0;0;0;0;0;0;0;0;0;0;0
