Município;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006
Ac-Senador Guiomard;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ac-Sena Madureira;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ac-Tarauaca;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ac-Xapuri;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ac-Porto Acre;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ac-Ignorado;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Am-Alvaraes;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Am-Amatura;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Am-Anama;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Am-Anori;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Am-Apui;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Am-Atalaia do Norte;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Am-Autazes;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Am-Barcelos;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Am-Barreirinha;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Am-Benjamin Constant;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Am-Beruri;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Am-Boa Vista do Ramos;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Am-Boca do Acre;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Am-Borba;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Am-Caapiranga;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Am-Canutama;0;0;0;0;2;0;1;1;2;1;4;4;4;4;5;1
Am-Carauari;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Am-Careiro;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Am-Careiro da Varzea;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Am-Coari;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Am-Codajas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Am-Eirunepe;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Am-Envira;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Am-Fonte Boa;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Am-Guajara;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Am-Humaita;39;0;13;15;0;0;0;0;0;0;0;0;0;0;0;0
Am-Ipixuna;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Am-Iranduba;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Am-Itacoatiara;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Am-Itamarati;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Am-Itapiranga;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Am-Japura;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Am-Jurua;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Am-Jutai;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Am-Labrea;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Am-Manacapuru;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Am-Manaquiri;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Am-Manaus;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Am-Manicore;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Am-Maraa;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Am-Maues;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Am-Nhamunda;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Am-Nova Olinda do Norte;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Am-Novo Airao;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Am-Novo Aripuana;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Am-Parintins;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
